Stats:
	Average	[0.177042]
	Folder	[horse7]
	Guessed	[0.704102]
	NumGen	[6, 7]
	ObjFn	[0]
	PerSampleErrors	[0.152279, 0.144622, 0.0332004, 0.0894535, 0.920686, 0, 0.393987, 0.818725, 0.155625, 0.0601708, 0.00363341, 0.121578, 0.346476, 0.378283, 0.0113325, 0.273973, 0.148331, 0.411141, 0.160529, 0.00965591, 0.100587, 0.0540229, 0.165685, 0.10336, 0.119571, 0.0608747, 0.0114685, 0.0792909, 0.283963, 0.167527, 0.0130418, 0.656694, 0.603152, 0.182967, 0.20513, 0.0448116, 0.00437702, 0.0644318, 0.119257, 0.224429, 0.053519, 0.0202948, 0.391793, 0.209463, 0.108322, 0.154607, 0.566772, 0.126652, 0.00552454, 0.247504, 0.132114, 0.0779797, 0.278661, 0.127857, 0.238064, 0.182688, 0.26179, 0.0849294, 0.0522005, 0.0876585, 0.128726, 0.162183, 0.0286288, 0.0854059, 0.0257447, 0.0766194, 0.242203, 0, 0.0191731, 0.215679, 0.120257, 0.0681664, 0.0565144, 0.196392, 0.363249, 0.0524002, 0, 0.470868, 0.238225, 0.0403981, 0.14457, 0.231706, 0.170399, 0.043749, 0.139531, 0.0219437, 0.435651, 0.0114642, 0.159831, 0.774834, 0.125187, 0.174639, 0.144835, 0.0137783, 0.168607, 0.0997875, 0.107558, 0.151865, 0.0560346, 0.411215, 0.156991, 0, 0.111602, 0.281515, 0.13563, 0.125659, 0.291045, 0.285811, 0.0235949, 0.0102058, 0.171106, 0.136127, 0.016924, 0.278192, 0.121705, 0.553917, 0.369468, 0.318835, 0.125903, 0.275498, 0.43747, 0.291115, 0.116351, 0.146024, 0.0551278, 0, 0.0383462, 0.136005, 0.152234, 0.00890615, 0.137803, 0.101995, 0.119186, 0.143845, 0.690741, 0.0577816, 0.176857, 0.521082, 0.162849, 0, 0.209368, 0.303769, 0.019979, 0.128931, 0.138652, 0.0441464, 0.138168, 0, 0.199699, 0.205704, 0.0308551, 0.0741907, 0.709671, 0.129076, 0.143854, 0.851934, 0.106622, 0.00628568, 0.146186, 0.129772, 0.0753811, 0.0894115, 0.185912, 0.498422, 0.369838, 0.16427, 0.235165, 0.12731, 0.389082, 0.0778567, 0.307437, 0.0864627, 0.628565, 0.121889, 0.227994, 0.354234, 0.0493947, 0.0767083, 0.0175056, 0.150806, 0.108944, 0.231757, 0.153163, 0.167816, 0.0282892, 0.2468, 0.104424, 0.225931, 0.034447, 0.0156104, 0.210982, 0.216733, 0.42423, 0.0749172, 0.279016, 0.020929, 0.308773, 0.0728212, 0.0954376, 0.0196191, 0.187716, 0.00970592, 0.0838393, 0.0227815, 0.267436, 0.136542, 0.167387, 0.0895076, 0.202678, 0.0851558, 0.195129, 0.329115, 0.320832, 0.00374304, 0.0430028, 0.169172, 0.0564548, 0.152015, 0.0630968, 0.130942, 0.0914755, 0.0710755, 0.017238, 0.14627, 0.253268, 0.0525923, 0.237459, 0.116398, 0.235934, 0.336682, 0.0124757, 0, 0.0988268, 0.0883662, 0.144766, 0.027331, 0.684664, 0.0325108, 0.10912, 0.0087566, 0.852622, 0.151396, 0.127502, 0.131246, 0.303417, 0.218926, 0.144035, 0, 0.0744073, 0.464618, 0.18477, 0.140085, 0.0181559, 0.0145835, 0.00926872, 0.123464, 0.100098, 0.322855, 0, 0.0737676, 0.119794, 0.342109, 0.34824, 0.0056685, 0.0782013, 0.13603, 0.341516, 0.469117, 0.181261, 0.742831, 0.311389, 0.122082, 0.00878614, 0.00463347, 0.0499082, 0.125558, 0.126467, 0.121746, 0.0526107, 0.243543, 0.0077685, 0.0605604, 0.0359799, 0.140462, 0.0538571, 0.465766, 0.112535, 0.139666, 0.0965238, 0.842546, 0.133232, 0.10076, 0.425138, 0.059188, 0.0539434, 0.176124, 0.016301, 0.281429, 0.0905988, 0.138307, 0.149043, 0.545019, 0.182825, 0.430824, 0.172298, 0.334053, 0.341847, 0.323867, 0.237244, 0.211363, 0.0299564, 0.113004, 0.578818, 0.0285774, 0.287616, 0.17763, 0.260267, 0.0129747, 0.0841552, 0.00963642, 0.0264056, 0.123461, 0.0141554, 0.16356, 0.127597, 0.0975252, 0.162804, 0.100946, 0.282637, 0.138308, 0.613197, 0.395106, 0.12761, 0.224548, 0.0669035, 0.127526, 0.122463, 0.0864455, 0, 0.00346375, 0.134085, 0.091401, 0.0119912, 0.167663, 0.199797, 0.190213, 0.18534, 0.0250414, 0.0166944, 0.74203, 0.0929547, 0.213204, 0.165961, 0.0140304, 0.143019, 0.12319, 0.301037, 0.093429, 0.0838133, 0.0535857, 0.382833, 0.142748, 0.043906, 0.713025, 0.140402, 0.147044, 0.00852875, 0.012817, 0.325049, 0.572964, 0.0360506, 0.409062, 0.179042, 0.166706, 0.0509812, 0.210955, 0.241883, 0.12298, 0.0300814, 0.16006, 0.227474, 0, 0.219869, 0.0357589, 0, 0.233711, 0.134494, 0.175072, 0.395974, 0.346833, 0.0211145, 0.137894, 0.355508, 0.142826, 0.102232, 0.0674668, 0.142043, 0.018591, 0.271669, 0.739151, 0.111505, 0.202006, 0.0924956, 0.022477, 0.0109608, 0.0849719, 0.0350092, 0.16369, 0.0404473, 0.284133, 0.188419, 0.325665, 0.116672, 0.0247077, 0.0342346, 0.186812, 0.13425, 0.086377, 0.138882, 0.285241, 0.526982, 0.112892, 0.258944, 0.524167, 0.18261, 0.357561, 0.147852, 0.048391, 0.273047, 0.0610541, 0.0772094, 0.36099, 0.305236, 0.0989058, 0.444859, 0.0478813, 0.210642, 0.115553, 0.748995, 0.092061, 0.0185083, 0.66877, 0.627869, 0.163523, 0.0181606, 0.230145, 0.173005, 0.0899183, 0.365612, 0.879968, 0.124921, 0.0188101, 0.138575, 0.133232, 0.13021, 0.0144233, 0.342722, 0.0172567, 0.188682, 0.387654, 0.0252189, 0.366466, 0.0140244, 0.565969, 0.163286, 0, 0.1932, 0.779038, 0.0255588, 0, 0.19111, 0.48078, 0.0791512, 0.0122678, 0.0768566, 0.00805055, 0.14997, 0.013446, 0.100829, 0.408657, 0.136325, 0.232571, 0.180436, 0.11739, 0.382159, 0.119915, 0.109463, 0.217839, 0.0850942, 0.250605, 0.00701527, 0.12721, 0.124285, 0.069526, 0.156686, 0.1462, 0.0616882, 0.106407, 0.0236118, 0.00699162, 0.113983, 0.0296787, 0.0673694, 0.216316, 0.181359, 0.19337, 0.0204423, 0.645246, 0.0424922, 0.0283906, 0.0797896, 0.432996, 0.526537, 0.05031, 0.0811711, 0.147494, 0.0473508, 0.113003, 0.292463, 0.177541, 0.0871967, 0.39683, 0.0942992, 0.164135, 0.146255, 0.0191934, 0.132019, 0.0365036, 0.284089, 0.0776012, 0.116368, 0.496233, 0.842836, 0.0154811, 0.150323, 0.885048, 0.0121833, 0.189522, 0.0820979, 0.0189757, 0.0971769, 0.0618565, 0.294274, 0.110079, 0.301947, 0.0356381, 0.230315, 0.0192502, 0.0515833, 0.0833283, 0.456903, 0.0263298, 0.271502, 0.151229, 0.116991, 0.136231, 0.139707, 0.0298505, 0.651984, 0.010346, 0.0591224, 0.0116664, 0.00993845, 0.0244591, 0.0687326, 0.0162628, 0.0901953, 0.786692, 0.319874, 0.173345, 0.0900201, 0.0641394, 0.359963, 0.201941, 0.170396, 0.18973, 0.125306, 0.00706575, 0.338922, 0.203031, 0.0372072, 0.0954606, 0.103385, 0.493022, 0, 0.198236, 0.126685, 0.179941, 0.14652, 0.0121647, 0.0427544, 0.25287, 0.135744, 0.163324, 0.021249, 0.434875, 0.0870427, 0.0352329, 0.365339, 0.0937169, 0.0853114, 0.214084, 0, 0.0615019, 0.231711, 0.111664, 0.179109, 0, 0.225476, 0.0231739, 0.182953, 0.0876679, 0.1621, 0.104139, 0.404977, 0.115294, 0.108431, 0.0854334, 0.438255, 0.149916, 0.209512, 0.028611, 0.583445, 0.130058, 0.106663, 0.0423892, 0.0559405, 0.262512, 0.0158181, 0.134473, 0.437344, 0.33254, 0.00958592, 0.183106, 0.0555996, 0.124924, 0.122932, 0.864319, 0.11133, 0.284827, 0.174845, 0.015916, 0.230467, 0.069462, 0.044588, 0.172431, 0.143919, 0.26337, 0.0157745, 0.0437792, 0.0114682, 0.31151, 0.497212, 0.0304746, 0.091953, 0.141123, 0.134616, 0.125982, 0.327217, 0.00713219, 0.130791, 0.0134649, 0.304251, 0.228278, 0.312158, 0.0684866, 0.019367, 0.133876, 0.15872, 0.147904, 0.207952, 0.212954, 0.197904, 0.280459, 0.134328, 0.110024, 0.257656, 0.581224, 0.295458, 0.345326, 0.00762533, 0.276334, 0.21954, 0.00776559, 0.160604, 0.315165, 0.136066, 0.308695, 0.127965, 0.015725, 0.189685, 0.0817435, 0.106456, 0.13032, 0.271182, 0.203388, 0.132364, 0.334981, 0.0294448, 0.102533, 0.0946514, 0.0464533, 0.135225, 0.0766969, 0.124845, 0.212823, 0.0309597, 0.352066, 0.200152, 0.777221, 0.194506, 0.144731, 0.333917, 0.00915498, 0.31892, 0.739385, 0.1004, 0.0246933, 0.0890965, 0.15379, 0.0189966, 0, 0.236549, 0.27263, 0.0130237, 0.138189, 0.114653, 0.143357, 0.0812655, 0, 0.0777074, 0.0346971, 0.093784, 0.0693987, 0.147399, 0.31898, 0.173519, 0.271942, 0.0571697, 0.018886, 0.105894, 0.0256723, 0.0358133, 0.136131, 0.121703, 0.265216, 0.691409, 0.19949, 0.0916582, 0.065452, 0.0537174, 0.0393198, 0.0985449, 0.193969, 0.207038, 0.760061, 0.2497, 0.412291, 0.0840431, 0.224002, 0.164348, 0.517322, 0.12918, 0.129063, 0.126084, 0.38011, 0.118889, 0.151219, 0.304561, 0.148047, 0.302866, 0.103611, 0.161121, 0.0506807, 0.132495, 0.321339, 0.0311166, 0.253217, 0.259391, 0.0833357, 0.101379, 0.164098, 0.371883, 0.20269, 0.147839, 0.412544, 0.159437, 0.0353737, 0.248031, 0.0183086, 0.0109723, 0.133344, 0, 0.104236, 0.146975, 0.231763, 0.523925, 0.296916, 0.280468, 0.0122585, 0.023668, 0.0746756, 0.356813, 0.234851, 0.126847, 0.612527, 0.0565933, 0.29583, 0.149037, 0.349435, 0.177499, 0.0351718, 0.115191, 0.12287, 0.167208, 0.0184772, 0.248976, 0.147636, 0.120537, 0.120239, 0.424728, 0.161272, 0.0181616, 0.236614, 0.0707369, 0.903188, 0.166166, 0.433392, 0.147902, 0.144411, 0.0963684, 0.118194, 0.0197161, 0.446621, 0.0174526, 0.187715, 0.11504, 0.00848148, 0.119492, 0.498294, 0.13443, 0.158739, 0.159872, 0.146176, 0.191105, 0.161958, 0.087158, 0.145632, 0.117907, 0.0282809, 0.114181, 0.0196299, 0.200622, 0.791113, 0.385131, 0.0525718, 0.190431, 0.00499186, 0.111568, 0.189536, 0.104895, 0.109562, 0.122336, 0.0337123, 0.0441025, 0.894317, 0.219687, 0.259794, 0.605499, 0.0255334, 0.465335, 0.426594, 0.0753841, 0.188177, 0.123988, 0.375305, 0.132182, 0.0720073, 0.0202036, 0.0309661, 0.110086, 0.420414, 0.125962, 0.188997, 0.264102, 0.737898, 0.682109, 0.0402782, 0.335055, 0.152542, 0.101331, 0.0098327, 0.15653, 0.148331, 0.142647, 0.30233, 0.212348, 0.231039, 0.0477818, 0.0623518, 0.42107, 0, 0.301159, 0.120079, 0.0103458, 0.37234, 0.526046, 0.0435962, 0.14045, 0.137204, 0.0473386, 0.184678, 0.0447551, 0, 0.169151, 0.0992871, 0.19736, 0.112271, 0.0597715, 0.0299402, 0.0525489, 0.176805, 0.245487, 0.0756959, 0.0232225, 0, 0.356061, 0.114199, 0.493876, 0.0453253, 0.0476218, 0.0173327, 0.100654, 0.181711, 0.0136254, 0.0282461, 0.269712, 0.396274, 0.187626, 0.0454238, 0.166762, 0.101774, 0.282509, 0.0902286, 0.324489, 0.0668157, 0.0167163, 0.0131337, 0.0174684, 0.812551, 0.0126067, 0.253938, 0.224496, 0.249319, 0.0850281, 0.201244, 0.0356865, 0.422026, 0.117936, 0.0187277, 0.128897, 0.115281, 0.182636, 0.223648, 0.111965, 0.188596, 0.338101, 0.10779, 0.189712, 0.0134366, 0.126385, 0.115122, 0.29618, 0.258931, 0.0138107, 0.048632, 0.00292895, 0, 0.211823, 0.164977, 0.196444, 0.603157, 0.0950182, 0.00890912, 0.65823, 0.107941, 0.127774, 0.00310153, 0.0141071, 0.236296, 0.0920737, 0.055966, 0.00775481, 0.0105443, 0.343017, 0.109034, 0.136993, 0.0954579, 0.166687, 0.310208, 0.0782213, 0.170953, 0.0490921, 0.146632, 0.029334, 0.309925, 0.164069, 0.12046, 0.118681, 0.0485543, 0.0296169, 0.0300897, 0.206428, 0.0147605, 0.394211, 0.581528, 0.143202, 0.148543, 0, 0.0214402, 0.169465, 0.0220538, 0.809089, 0.147097]
	Time	[0]
	TimeBench	[0]
	TimeInit	[0]
	TimeMaps	[0]
