Stats:
	Average	[0.0410288]
	Folder	[cat5]
	Guessed	[0.999023]
	NumGen	[6, 6]
	ObjFn	[0.84455]
	PerSampleErrors	[0.0348968, 0.0453054, 0.0139869, 0.0131114, 0.0161429, 0.142915, 0.0070199, 0.0227753, 0.00116547, 0.0151892, 0.0365969, 0.0243255, 0.0774832, 0.1437, 0.0182601, 0.0326793, 0.0451978, 0.0699542, 0.0294546, 0.0316881, 0.0193736, 0.00671393, 0.178917, 0.0381815, 0.0234245, 0.0130996, 0.0275365, 0.0247728, 0.0300009, 0.02629, 0.0363761, 0.147981, 0.0607236, 0.0645395, 0.0452396, 0.0327663, 0.02539, 0.0267949, 0.0462161, 0.0377221, 0.0526993, 0.0713138, 0.0497652, 0.0280976, 0.0447784, 0.0334191, 0.00468457, 0.028462, 0.0168336, 0.00866701, 0.0106226, 0.0373295, 0.0581927, 0.0302627, 0.0346636, 0.00333884, 0.00872051, 0.0166573, 0.17963, 0.0158976, 0.0376536, 0.022376, 0.00909885, 0.0465164, 0.0179393, 0.038871, 0.0558477, 0.140219, 0.0842965, 0.0718464, 0.0923173, 0.00461816, 0.0239017, 0.0581228, 0.0410218, 0.0143122, 0.0294467, 0.00706576, 0.112861, 0.0271199, 0.0218445, 0.0352858, 0.0527075, 0.0668236, 0.0273897, 0.0172027, 0.0326746, 0.00703898, 0.0927786, 0.0391248, 0.0302928, 0.136024, 0.036316, 0.0295395, 0.0093425, 0.00737582, 0.0287828, 0.0436442, 0.0124793, 0.00515322, 0.0333469, 0.0286162, 0.025588, 0.00556882, 0.09041, 0.064612, 0.0487799, 0.0682354, 0.0334173, 0.0138601, 0.0470076, 0.114958, 0.041342, 0.0166186, 0.0241505, 0.0440591, 0.170624, 0.0466463, 0.0397721, 0.0267502, 0.0768555, 0.0134785, 0.139598, 0.0231, 0.0493966, 0.0262744, 0.014838, 0.00881181, 0.0272113, 0.0359691, 0.038987, 0.0128476, 0.00664179, 0.0109205, 0.211654, 0.0702798, 0.0237861, 0.0118274, 0.0457848, 0.0440514, 0.0334501, 0.017349, 0.0146862, 0.0156066, 0.052905, 0.0214003, 0.0519327, 0.0159734, 0.0544404, 0.0192789, 0.0334317, 0.0444369, 0.0209028, 0.0859988, 0.022951, 0.00678376, 0.0524327, 0.0628132, 0.0405315, 0.0273859, 0.0352107, 0.0170533, 0.0351143, 0.0444508, 0.151783, 0.0879753, 0.0155436, 0.0179427, 0.0273626, 0.00827082, 0.0114396, 0.0317993, 0.0133474, 0.00858837, 0.00404471, 0.00686535, 0.0396361, 0.00716765, 0.011297, 0.0500888, 0.00467464, 0.018941, 0.0238823, 0.00331241, 0.0386, 0.0278455, 0.0248843, 0.0341726, 0.0635064, 0.0243839, 0.0316489, 0.0132637, 0.0515672, 0.0479466, 0.0141629, 0.185016, 0.0472223, 0.0120753, 0.00990301, 0.0142143, 0.00982905, 0.0101243, 0.105612, 0.029772, 0.0265945, 0.00744985, 0.0417508, 0.0124249, 0.0308993, 0.152193, 0.0253342, 0.0741309, 0.0489106, 0.0171782, 0.03305, 0.0349801, 0.0111426, 0.126253, 0.0546701, 0.0254668, 0.0123871, 0.0500004, 0.0362796, 0.143809, 0.091621, 0.125214, 0.0975872, 0.0274277, 0.00646981, 0.00650322, 0.00820395, 0.0439323, 0.0599486, 0.0662338, 0.0264938, 0.142433, 0.012004, 0.0138283, 0.0903974, 0.0300029, 0.0077978, 0.0570969, 0.0573408, 0.0678663, 0.041197, 0.0247546, 0.00855325, 0.0114632, 0.0190274, 0.0421153, 0.0465797, 0.0437567, 0.0700567, 0.0124442, 0.0251523, 0.0442862, 0.0338615, 0.0462836, 0.0258749, 0.0148538, 0.0468048, 0.0853856, 0.0453128, 0.0234125, 0.055653, 0.0166613, 0.0185792, 0.0147423, 0.0746464, 0.0208872, 0.0371515, 0.00790842, 0.00816359, 0.0148469, 0.00591571, 0.0358531, 0.0448548, 0.00492254, 0.0601215, 0.0264576, 0.0417736, 0.0265262, 0.0259929, 0.0897677, 0.185249, 0.0435504, 0.0349006, 0.121263, 0.0340274, 0.0358593, 0.100604, 0.066334, 0.00517861, 0.0432315, 0.0428864, 0.0645139, 0.0101675, 0.017767, 0.0479083, 0.0256675, 0.0504732, 0.0172737, 0.0119335, 0.00103054, 0.0316618, 0.0459139, 0.0511374, 0.0158474, 0.0962379, 0.0229937, 0.00895828, 0.0519784, 0.0518103, 0.0416912, 0.115729, 0.0806525, 0.0113223, 0.0193677, 0.0476215, 0.0343791, 0.0380928, 0.054305, 0.146833, 0.0216521, 0.0245638, 0.168683, 0.00674122, 0.0930976, 0.0389356, 0.0187157, 0.0209167, 0.0222597, 0.120433, 0.0215258, 0.00751084, 0.0511129, 0.0739044, 0.018991, 0.0684217, 0.0694847, 0.0256214, 0.0188519, 0.0246461, 0.0564178, 0.0616907, 0.0395431, 0.0389913, 0.0107322, 0.0130839, 0.0260222, 0.0610285, 0.0281215, 0.0132994, 0.0276339, 0.0502438, 0.0116158, 0.157632, 0.0465791, 0.0316044, 0.0305288, 0.0550873, 0.0468683, 0.0121131, 0.0372438, 0.00393507, 0.048796, 0.00605892, 0.0215801, 0.00952731, 0.0232504, 0.0861374, 0.0284349, 0.00690624, 0.00461297, 0.0258257, 0.0501624, 0.0164875, 0.0182933, 0.0261724, 0.14591, 0.0324775, 0.025883, 0.0402802, 0.00722142, 0.129728, 0.0453039, 0.16858, 0.034381, 0.00322625, 0.0520663, 0.042746, 0.0174644, 0.010318, 0.01398, 0.0225486, 0.0224418, 0.0283904, 0.0304543, 0.00637314, 0.0209606, 0.127964, 0.186098, 0.0197358, 0.0627945, 0.0129852, 0.00838128, 0.0482017, 0.0321838, 0.0127287, 0.0164381, 0.0506776, 0.0205653, 0.0274109, 0.0303932, 0.00690177, 0.0482647, 0.00855526, 0.00936575, 0.0906223, 0.102093, 0.0708217, 0.0120096, 0.0429725, 0.0341969, 0.0415134, 0.0516051, 0.031686, 0.0126442, 0.0369688, 0.00882885, 0.0705716, 0.00405198, 0.0342421, 0.0284853, 0.0641556, 0.124873, 0.0169819, 0.0117726, 0.0109322, 0.0244261, 0.026494, 0.0243197, 0.0264796, 0.0373844, 0.135696, 0.0279733, 0.0151338, 0.0251359, 0.0687574, 0.0646374, 0.0403422, 0.0156488, 0.00874437, 0.0765253, 0.0492, 0.00372927, 0.0131975, 0.0388311, 0.00904917, 0.0245357, 0.0367737, 0.0317259, 0.0451344, 0.0113569, 0.0389576, 0.0173795, 0.0304296, 0.00772379, 0.185572, 0.0232157, 0.0643088, 0.00236135, 0.061049, 0.0287555, 0.0744893, 0.0373438, 0.119613, 0.0619598, 0.0109199, 0.0284393, 0.0316814, 0.0230044, 0.0106213, 0.0320877, 0.0350619, 0.0255881, 0.0272988, 0.0204826, 0.0242982, 0.033911, 0.01812, 0.113934, 0.0297689, 0.0102709, 0.0836924, 0.00598242, 0.0383783, 0.0214477, 0.0527543, 0.0866853, 0.045659, 0.0155022, 0.0239236, 0.0415311, 0.0220215, 0.0108221, 0.0195768, 0.048473, 0.0630618, 0.0396378, 0.0162581, 0.0640862, 0.0190067, 0.0240315, 0.050421, 0.0415969, 0.0519928, 0.104301, 0.0207865, 0.0622243, 0.00749567, 0.0473979, 0.0348408, 0.0386223, 0.0128764, 0.00792925, 0.0121737, 0.0687073, 0.15912, 0.0279748, 0.0252038, 0.0755873, 0.00430003, 0.00847742, 0.0233448, 0.0366196, 0.0118045, 0.0895826, 0.0673051, 0.0471049, 0.0359297, 0.013219, 0.0721285, 0.0172702, 0.0502316, 0.00902783, 0.00717773, 0.0350548, 0.00427434, 0.0368308, 0.0309196, 0.0338908, 0.0156926, 0.0319956, 0.0171865, 0.0305126, 0.0522272, 0.00750875, 0.140327, 0.0691467, 0.0877306, 0.038652, 0.0275939, 0.0385938, 0.00689921, 0.0141006, 0.0199103, 0.00289405, 0.0436049, 0.0226864, 0.0335117, 0.0320651, 0.0109543, 0.0108651, 0.013939, 0.0450572, 0.187294, 0.131751, 0.0363265, 0.105674, 0.0161427, 0.0344659, 0.164017, 0.089042, 0.164669, 0.0396106, 0.168734, 0.00921696, 0.00751284, 0.0216736, 0.0530816, 0.0481294, 0.0255412, 0.0154943, 0.0159893, 0.0127633, 0.0363334, 0.0266399, 0.037705, 0.0247313, 0.054134, 0.0255973, 0.0502971, 0.0433022, 0.0680314, 0.00387916, 0.0193905, 0.00548178, 0.0165685, 0.0124101, 0.0210249, 0.0131986, 0.0434571, 0.0258158, 0.0286179, 0.0141944, 0.0553784, 0.0460779, 0.089751, 0.0322746, 0.125664, 0.0358322, 0.00840461, 0.0284417, 0.00581498, 0.021971, 0.0738688, 0.0358171, 0.0115618, 0.0100292, 0.011782, 0.0377029, 0.0268111, 0.0165361, 0.0684085, 0.034808, 0.0302231, 0.00733606, 0.166352, 0.0792592, 0.0506859, 0.00765944, 0.0130532, 0.0463845, 0.0474587, 0.00363561, 0.0308402, 0.0201019, 0.0113401, 0.0330444, 0.0594715, 0.0101101, 0.0456299, 0.0902354, 0.0434244, 0.0036151, 0.0141964, 0.0210274, 0.0605103, 0.128421, 0.01961, 0.0104911, 0.0207665, 0.0400563, 0.0189317, 0.0339452, 0.025325, 0.157596, 0.0145814, 0.00695544, 0.00582007, 0.0260482, 0.0141714, 0.0104646, 0.0307454, 0.00286882, 0.0725697, 0.0431772, 0.0111131, 0.0252287, 0.0100083, 0.0164219, 0.0077742, 0.00803297, 0.0454975, 0.121379, 0.00899697, 0.0251718, 0.00785414, 0.0345168, 0.0146052, 0.0163434, 0.142311, 0.081849, 0.0443965, 0.0592722, 0.0103712, 0.0344068, 0.0456488, 0.00888015, 0.0368819, 0.031459, 0.0207709, 0.0197197, 0.0107278, 0.00587201, 0.0649129, 0.0270103, 0.127016, 0.0291146, 0.0166168, 0.0772374, 0.0397102, 0.00857833, 0.0352933, 0.0165887, 0.00747753, 0.0262055, 0.0254037, 0.0105849, 0.0275335, 0.030226, 0.0974534, 0.0306315, 0.136984, 0.018543, 0.00951479, 0.0329712, 0.00673914, 0.0382625, 0.00535232, 0.0145585, 0.06336, 0.031176, 0.151067, 0.0293341, 0.0146609, 0.0427895, 0.0247071, 0.026039, 0.149721, 0.0222369, 0.0104689, 0.0960161, 0.0382298, 0.0234152, 0.00844975, 0.171464, 0.0263631, 0.0136288, 0.0460033, 0.0213115, 0.00579863, 0.0238974, 0.0258944, 0.0955462, 0.00819053, 0.112408, 0.0595259, 0.0366959, 0.0150544, 0.0526794, 0.0320095, 0.0494536, 0.0223107, 0.00813436, 0.0380937, 0.0489645, 0.0890196, 0.00832052, 0.0325496, 0.0464603, 0.0272062, 0.0374289, 0.00486802, 0.15271, 0.109209, 0.163947, 0.0549054, 0.0109776, 0.0155346, 0.01645, 0.00856846, 0.0264923, 0.0236376, 0.0332523, 0.00403112, 0.0712765, 0.0539509, 0.0236408, 0.0206436, 0.0110134, 0.0218013, 0.00855243, 0.00324578, 0.0363179, 0.042056, 0.0127482, 0.00930352, 0.0208372, 0.138178, 0.195996, 0.0100667, 0.00974117, 0.0516218, 0.00830435, 0.049614, 0.0208469, 0.0500569, 0.0688445, 0.0186452, 0.0602041, 0.0425003, 0.030265, 0.0468211, 0.0274708, 0.0634704, 0.0074488, 0.00434795, 0.0247605, 0.0437767, 0.0133378, 0.122423, 0.0230258, 0.0605079, 0.00529345, 0.0276755, 0.147, 0.0280591, 0.0531485, 0.0249074, 0.016199, 0.00668236, 0.0251626, 0.0276027, 0.0111218, 0.0297181, 0.017815, 0.0231334, 0.0951264, 0.0526465, 0.0648452, 0.0712667, 0.0311855, 0.0345102, 0.0811914, 0.0510701, 0.0294352, 0.0298136, 0.0836651, 0.0267314, 0.0455344, 0.0410344, 0.0340795, 0.0297922, 0.185876, 0.0690213, 0.0156515, 0.0120049, 0.0505295, 0.00467159, 0.0181776, 0.106588, 0.0240682, 0.0278569, 0.0732692, 0.0443117, 0.00827325, 0.0331514, 0.0157112, 0.0458006, 0.0254902, 0.068441, 0.0235354, 0.0668806, 0.039377, 0.00895678, 0.0214064, 0.0463928, 0.0152873, 0.0153229, 0.15176, 0.0276171, 0.0264962, 0.00790811, 0.0182545, 0.00687305, 0.0380752, 0.0513168, 0.0249469, 0.0691477, 0.0524465, 0.0656472, 0.129207, 0.0800726, 0.00664865, 0.180841, 0.00781582, 0.00569035, 0.0485208, 0.0288703, 0.0250604, 0.00727455, 0.0771696, 0.0471716, 0.163563, 0.0128393, 0.023026, 0.00330985, 0.0201797, 0.0116484, 0.0229452, 0.0506862, 0.0415145, 0.0100534, 0.0469176, 0.0516413, 0.0181342, 0.0774163, 0.0488017, 0.0291746, 0.085651, 0.0149687, 0.0352425, 0.0340987, 0.0389828, 0.0691265, 0.00895791, 0.0358464, 0.0694611, 0.0164435, 0.0207096, 0.0210996, 0.0236797, 0.0157316, 0.0262825, 0.0572107, 0.0155674, 0.0665055, 0.0210351, 0.0134724, 0.0261363, 0.0353429, 0.0672101, 0.00661108, 0.0112674, 0.00881094, 0.00706976, 0.0372641, 0.0266057, 0.0201003, 0.143726, 0.0411768, 0.0676947, 0.0455216, 0.058488, 0.0235844, 0.00505605, 0.0583906, 0.0309169, 0.0594399, 0.0207097, 0.0803633, 0.0259989, 0.128248, 0.0312237, 0.0220861, 0.0492404, 0.0101086, 0.0795457, 0.0403922, 0.0211879, 0.00627055, 0.0856477, 0.0367594, 0.0326873, 0.0776748, 0.0225653, 0.0136337, 0.0554784, 0.0349808, 0.0114212, 0.00570073, 0.0104451, 0.166127, 0.00432785, 0.0283879, 0.00892247, 0.0629849, 0.0106809, 0.169253, 0.0458224, 0.0466488, 0.0142019, 0.0927561, 0.0120249, 0.00913632, 0.0908143, 0.0538821, 0.0348951, 0.0490644, 0.126159, 0.0472005, 0.0451302, 0.00708769, 0.0977995, 0.0446973, 0.0233614, 0.0503883, 0.0122887, 0.0348022, 0.156523, 0.0434776, 0.0317264, 0.0706116, 0.0464273, 0.0587647, 0.0381931, 0.0140224, 0.0396546, 0.0181594, 0.0280847, 0.0277174, 0.0919197]
	Time	[658]
	TimeBench	[0]
	TimeInit	[291]
	TimeMaps	[366]
	TimeMapsCluster	[192]
	TimeMapsSearch	[117]
	TimeMapsWeights	[56]
Stats1:
	Average	[0.347612]
	Guessed	[0.0810547]
	NumGen	[6, 6]
	ObjFn	[0.726386]
