Stats:
	Average	[0.043349]
	Folder	[cat1]
	Guessed	[0.987305]
	NumGen	[6, 6]
	ObjFn	[0.846997]
	PerSampleErrors	[0.0113594, 0.196402, 0.00990252, 0.0386454, 0.0347347, 0.0191095, 0.00743775, 0.0093803, 0.0167651, 0.0227106, 0.0139859, 0.0648939, 0.0169425, 0.0479616, 0.0217881, 0.0347692, 0.022986, 0.0369911, 0.0758736, 0.0175229, 0.0296211, 0.0349345, 0.165802, 0.0162544, 0.255868, 0.00180176, 0.0202486, 0.0452719, 0.0559022, 0.0360572, 0.0467031, 0.0471286, 0.0488727, 0.0124447, 0.0203454, 0.0237976, 0.0909002, 0.00564291, 0.0406882, 0.0138954, 0.0184584, 0.0117513, 0.199709, 0.0144261, 0.0239271, 0.0664943, 0.0206772, 0.0392175, 0.0174759, 0.00295642, 0.0261322, 0.0355403, 0.0243064, 0.0375905, 0.0261295, 0.0367853, 0.00497663, 0.0499973, 0.0297939, 0.19796, 0.126819, 0.0105259, 0.0242182, 0.0186813, 0.0203759, 0.0482088, 0.0213625, 0.0151628, 0.0626081, 0.00653549, 0.0548134, 0.0709087, 0.018032, 0.0359497, 0.0379302, 0.0125952, 0.0161168, 0.153781, 0.172503, 0.0109466, 0.0322731, 0.0139997, 0.0909334, 0.0699329, 0.0476534, 0.0163842, 0.0449156, 0.170417, 0.0214251, 0.162927, 0.045677, 0.028214, 0.0115499, 0.0114494, 0.0245694, 0.0304626, 0.00589554, 0.0226432, 0.0532384, 0.200097, 0.0408239, 0.131566, 0.0498827, 0.0411111, 0.0184364, 0.0402844, 0.0724396, 0.035852, 0.038217, 0.0373809, 0.0254472, 0.0261009, 0.035508, 0.030089, 0.00205325, 0.0608963, 0.0331574, 0.0206611, 0.0147219, 0.04019, 0.0734406, 0.00333121, 0.0715945, 0.0151579, 0.0440607, 0.0449435, 0.0196075, 0.0252606, 0.0143647, 0.0253606, 0.0107085, 0.0239673, 0.0279632, 0.0209113, 0.0234764, 0.0317662, 0.00927526, 0.0063026, 0.0196613, 0.0472785, 0.0284198, 0.0320566, 0.0547874, 0.0618168, 0.0136652, 0.013258, 0.0356632, 0.0593414, 0.172247, 0.0260299, 0.00454072, 0.0319096, 0.0375294, 0.0353837, 0.0511339, 0.0245414, 0.0601157, 0.0113653, 0.018402, 0.0268406, 0.029154, 0.0325967, 0.0109643, 0.160972, 0.141937, 0.0354281, 0.0432996, 0.028239, 0.00990648, 0.0145894, 0.0656776, 0.0215659, 0.00224811, 0.0370504, 0.0301546, 0.0346854, 0.00343137, 0.00554166, 0.0502054, 0.0324372, 0.0144931, 0.0186623, 0.0423385, 0.0214905, 0.00998386, 0.0437058, 0.0247812, 0.0591935, 0.011654, 0.014335, 0.0825372, 0.203584, 0.174801, 0.192757, 0.144742, 0.00574116, 0.0162503, 0.0159201, 0.116423, 0.0244509, 0.0342655, 0.00316526, 0.0178793, 0.159601, 0.026937, 0.056493, 0.00544092, 0.0273401, 0.0100196, 0.100221, 0.0312756, 0.0107387, 0.0157937, 0.0255884, 0.0307208, 0.0509487, 0.167473, 0.019776, 0.0291869, 0.21068, 0.110857, 0.0224009, 0.0286951, 0.0305669, 0.0235431, 0.0187984, 0.0368665, 0.0244079, 0.0215916, 0.0263241, 0.0181788, 0.166445, 0.0561795, 0.0397574, 0.0304526, 0.0196652, 0.0516643, 0.00945909, 0.0556038, 0.0553147, 0.0103513, 0.0196659, 0.0360991, 0.113554, 0.0472558, 0.0383317, 0.0268306, 0.0221729, 0.0165908, 0.0241468, 0.021451, 0.00902995, 0.0279498, 0.168258, 0.0138871, 0.0285769, 0.00382815, 0.109524, 0.0561027, 0.0389709, 0.0466911, 0.0127623, 0.00989072, 0.0134061, 0.0449333, 0.0470743, 0.0483117, 0.0490569, 0.0346134, 0.00600657, 0.0167613, 0.10503, 0.0459734, 0.0478124, 0.0012293, 0.0463915, 0.0340506, 0.00923471, 0.0552439, 0.0495674, 0.0368377, 0.0376301, 0.0354622, 0.0167038, 0.0275648, 0.0395196, 0.0229766, 0.0114261, 0.0143863, 0.0215686, 0.0101883, 0.0302238, 0.0218139, 0.018482, 0.0315145, 0.0175428, 0.044596, 0.0213355, 0.0427484, 0.0098267, 0.0299899, 0.0141813, 0.12759, 0.124905, 0.0150171, 0.206468, 0.16806, 0.0283333, 0.0281366, 0.0547911, 0.0087236, 0.0104629, 0.0449267, 0.0379727, 0.0194464, 0.0271484, 0.0331508, 0.0456888, 0.0493789, 0.0130419, 0.0464068, 0.0273624, 0.0101302, 0.0341622, 0.0827557, 0.119244, 0.0181651, 0.0367516, 0.0105013, 0.0515416, 0.0442662, 0.0218572, 0.0322842, 0.0472925, 0.020725, 0.0155612, 0.0113318, 0.0114432, 0.0196269, 0.00807258, 0.0162904, 0.0799378, 0.0159055, 0.0080962, 0.0537785, 0.0351212, 0.0144683, 0.0340569, 0.0478269, 0.025419, 0.0191295, 0.187954, 0.0578289, 0.0299576, 0.00956373, 0.174729, 0.0157715, 0.014669, 0.0319432, 0.018653, 0.0476482, 0.0512243, 0.0255685, 0.0179037, 0.0316658, 0.00902587, 0.0045754, 0.260806, 0.0666098, 0.00692655, 0.0474161, 0.0206384, 0.0664507, 0.0246372, 0.171967, 0.0116025, 0.160805, 0.0488015, 0.0714839, 0.0264493, 0.0655004, 0.0523025, 0.139737, 0.0275367, 0.0447235, 0.042697, 0.0172997, 0.00246323, 0.016917, 0.046882, 0.143576, 0.0469265, 0.0298126, 0.0549571, 0.0421829, 0.0343379, 0.0244649, 0.0353488, 0.00992523, 0.0757574, 0.0329954, 0.00741551, 0.0267984, 0.0448001, 0.0270414, 0.215298, 0.01404, 0.0579239, 0.0148457, 0.0245488, 0.021609, 0.023397, 0.0255226, 0.0455715, 0.0507628, 0.0170453, 0.0370443, 0.0599338, 0.0163577, 0.0388917, 0.0320033, 0.0275129, 0.0320125, 0.0114851, 0.037225, 0.0163099, 0.111035, 0.0289274, 0.00714722, 0.0273687, 0.0241776, 0.0471141, 0.00754114, 0.0198722, 0.0114961, 0.0541268, 0.00945941, 0.00257534, 0.0333464, 0.146733, 0.15547, 0.105182, 0.165779, 0.116758, 0.0112923, 0.117703, 0.0231444, 0.018698, 0.00272272, 0.0501717, 0.020191, 0.0496902, 0.0499546, 0.0198213, 0.00863193, 0.0409821, 0.0240624, 0.0222912, 0.022196, 0.0107063, 0.00254926, 0.013314, 0.0196797, 0.00554551, 0.0139837, 0.00545402, 0.0261722, 0.00382412, 0.0585818, 0.0417596, 0.0184984, 0.0233085, 0.0220354, 0.0044119, 0.00196597, 0.0422068, 0.026072, 0.00952884, 0.00518363, 0.00814946, 0.0350805, 0.0406097, 0.00567645, 0.191205, 0.195704, 0.076217, 0.0577084, 0.0307018, 0.129909, 0.0282099, 0.0384829, 0.0184524, 0.0375681, 0.0389578, 0.0789508, 0.025973, 0.0185793, 0.0801262, 0.0530231, 0.0494909, 0.0366306, 0.0275384, 0.0675263, 0.0236899, 0.0116103, 0.186844, 0.0380239, 0.00193366, 0.003623, 0.0350677, 0.0111015, 0.0239459, 0.0196465, 0.0198283, 0.0158709, 0.0284443, 0.0505454, 0.0287925, 0.0219623, 0.00602039, 0.0265658, 0.0415556, 0.0130886, 0.0146024, 0.0221598, 0.0470381, 0.0273917, 0.03228, 0.00197381, 0.0234984, 0.0135174, 0.0166577, 0.0284571, 0.0196079, 0.030059, 0.0122479, 0.0175544, 0.0415164, 0.0311454, 0.0275411, 0.0355354, 0.0430846, 0.0227115, 0.0068202, 0.0559199, 0.052234, 0.0314865, 0.0416935, 0.0309612, 0.137462, 0.0421031, 0.0160706, 0.00606305, 0.0222468, 0.0196997, 0.0498214, 0.00987045, 0.0100827, 0.00828472, 0.0213418, 0.0180072, 0.0180397, 0.040676, 0.0307521, 0.0338578, 0.0200617, 0.0217559, 0.0151405, 0.113072, 0.0469264, 0.0519606, 0.0451609, 0.0169289, 0.0235196, 0.0417592, 0.0258151, 0.0101386, 0.0202257, 0.0138562, 0.0207292, 0.010981, 0.0954378, 0.154378, 0.0104898, 0.0328697, 0.195145, 0.0473258, 0.0257028, 0.0267083, 0.0129156, 0.0307024, 0.0124763, 0.1666, 0.113907, 0.0344887, 0.0111328, 0.0233689, 0.0255039, 0.0256421, 0.0109886, 0.142247, 0.0082658, 0.00998471, 0.146371, 0.14935, 0.0329921, 0.0367989, 0.0602167, 0.0524936, 0.0177772, 0.021666, 0.0375129, 0.0241103, 0.00404046, 0.0133627, 0.248103, 0.0323521, 0.037523, 0.0379259, 0.0567761, 0.0136569, 0.0434854, 0.039661, 0.00748889, 0.00920894, 0.096638, 0.0284878, 0.0544484, 0.0153585, 0.168533, 0.080148, 0.0315132, 0.010877, 0.145458, 0.218016, 0.0110156, 0.0311176, 0.0358258, 0.0496775, 0.00494713, 0.0264849, 0.0130342, 0.0594172, 0.0218005, 0.170923, 0.0875322, 0.0303426, 0.106352, 0.0500937, 0.166387, 0.0713627, 0.0489017, 0.0272964, 0.0244212, 0.0773558, 0.0389192, 0.0433785, 0.0362918, 0.0188198, 0.0291394, 0.0149221, 0.032545, 0.0501663, 0.0177763, 0.0196525, 0.033696, 0.0508015, 0.130316, 0.0361894, 0.0206415, 0.0402927, 0.00765787, 0.112587, 0.0293132, 0.028486, 0.0411759, 0.125154, 0.0605322, 0.027771, 0.00543557, 0.00232043, 0.0375311, 0.00651683, 0.010307, 0.0635912, 0.0542635, 0.028738, 0.0270871, 0.0101771, 0.00224223, 0.140117, 0.0134012, 0.0366133, 0.0364626, 0.0682761, 0.128311, 0.185623, 0.0446431, 0.0375007, 0.026763, 0.0195951, 0.0297556, 0.0282928, 0.0206199, 0.012075, 0.037405, 0.0307024, 0.0157228, 0.0349293, 0.198232, 0.0414729, 0.00846036, 0.0211299, 0.0328263, 0.0278351, 0.02821, 0.190845, 0.0328739, 0.0616499, 0.0126061, 0.0286843, 0.0224523, 0.0348583, 0.0534263, 0.017367, 0.0551834, 0.0523334, 0.2082, 0.190978, 0.0186256, 0.0445477, 0.0249418, 0.067583, 0.0407518, 0.0137042, 0.0163866, 0.00979148, 0.020703, 0.0518655, 0.0058518, 0.0264262, 0.0391388, 0.0550042, 0.0142255, 0.0357383, 0.201247, 0.0623408, 0.0476633, 0.0232294, 0.0236488, 0.0617117, 0.143332, 0.0268022, 0.0305463, 0.194097, 0.020948, 0.0275899, 0.121918, 0.0309553, 0.018282, 0.0817029, 0.023777, 0.026703, 0.0367482, 0.182996, 0.060585, 0.0102024, 0.00743009, 0.0274621, 0.0332052, 0.012253, 0.0527501, 0.0260784, 0.0306142, 0.00509948, 0.0131998, 0.0436146, 0.0499506, 0.030748, 0.0246269, 0.00152408, 0.0256142, 0.0585248, 0.00721574, 0.0147791, 0.0316283, 0.00610061, 0.154871, 0.0289451, 0.0269528, 0.0310117, 0.00493037, 0.0558566, 0.0384825, 0.0254871, 0.0151291, 0.0259452, 0.00703993, 0.0328882, 0.0419699, 0.0211827, 0.0283128, 0.0129685, 0.0151553, 0.0501139, 0.124691, 0.0123406, 0.165021, 0.0468577, 0.0542483, 0.0259735, 0.0521519, 0.00361973, 0.0327152, 0.0281957, 0.00701869, 0.0326267, 0.0268589, 0.0122879, 0.0284453, 0.0400131, 0.0226609, 0.0294704, 0.00824075, 0.00936323, 0.0200456, 0.0449256, 0.0303379, 0.0312849, 0.180416, 0.175352, 0.169199, 0.0410604, 0.0594983, 0.03529, 0.0113382, 0.0130213, 0.0145103, 0.135607, 0.0487321, 0.0198823, 0.0565574, 0.0357397, 0.174316, 0.220911, 0.0141139, 0.0225922, 0.0148791, 0.019885, 0.0341956, 0.0195481, 0.0396735, 0.0226351, 0.0126114, 0.0491265, 0.0326032, 0.00541044, 0.0170682, 0.0149499, 0.0205041, 0.0272718, 0.0596558, 0.0121597, 0.044457, 0.016142, 0.0126382, 0.0133634, 0.0284893, 0.0278593, 0.0113195, 0.0307009, 0.0166206, 0.00944936, 0.0973298, 0.0313337, 0.0354721, 0.073856, 0.0103751, 0.195631, 0.0124779, 0.0478902, 0.0300206, 0.00309754, 0.0192408, 0.182045, 0.0204755, 0.0286521, 0.019329, 0.00252181, 0.0309882, 0.0143078, 0.0343609, 0.043993, 0.0152728, 0.0560055, 0.0220127, 0.0495842, 0.0556239, 0.0250109, 0.0138045, 0.110391, 0.0245659, 0.0199794, 0.180417, 0.0397051, 0.0447323, 0.00955742, 0.0403732, 0.0481488, 0.026976, 0.0469239, 0.0247843, 0.0102806, 0.0238254, 0.034488, 0.0189498, 0.00953193, 0.0118006, 0.0297318, 0.0108161, 0.00625759, 0.0452495, 0.0188429, 0.0710482, 0.115546, 0.0354554, 0.00408428, 0.0335362, 0.0355889, 0.0402918, 0.0106026, 0.0254015, 0.0130514, 0.025479, 0.022799, 0.0420283, 0.0224234, 0.0293621, 0.0514229, 0.0327955, 0.0174584, 0.024069, 0.00964927, 0.0526757, 0.00674271, 0.0357615, 0.0617222, 0.0480668, 0.0287645, 0.0240425, 0.0208723, 0.0337434, 0.0631218, 0.0204829, 0.271927, 0.031272, 0.0239789, 0.0152376, 0.0209294, 0.0370902, 0.0484065, 0.0103339, 0.0177027, 0.0439738, 0.0324244, 0.0530928, 0.0576185, 0.0404811, 0.145791, 0.00956013, 0.0235429, 0.0132673, 0.0875588, 0.0243064, 0.0480212, 0.186982, 0.0338786, 0.0478985, 0.0256075, 0.0332389, 0.0416634, 0.0499449, 0.0316386, 0.0186432, 0.0696453, 0.0220594, 0.0521526, 0.0488014, 0.0572119, 0.052566, 0.00862711, 0.0103669, 0.0720705, 0.00885906, 0.0280925, 0.155663, 0.0160581, 0.0216604, 0.0774324, 0.00343175, 0.0989758, 0.0235909, 0.00904673, 0.0550163, 0.0286978, 0.180296, 0.0152973, 0.0235808, 0.0349889, 0.0591714, 0.0173299, 0.0180781, 0.05355, 0.0464984, 0.0171843, 0.0332253, 0.172106, 0.0557018, 0.0409689, 0.0158651, 0.0320104, 0.0137764, 0.0155353, 0.0565141]
	Time	[560]
	TimeBench	[0]
	TimeInit	[231]
	TimeMaps	[328]
