Stats:
	Average	[0.0261652]
	Folder	[dog0]
	Guessed	[0.999023]
	NumGen	[7, 7]
	ObjFn	[0.868308]
	PerSampleErrors	[0.0506394, 0.0398638, 0.038724, 0.00458188, 0.030101, 0.012586, 0.0386505, 0.0212646, 0.0425521, 0.0218627, 0.0398026, 0.105806, 8.92497e-10, 0.0180974, 0.0359901, 0.0134805, 0.00601431, 0.0238086, 0.0105644, 0.000604842, 0.03419, 0.0231601, 0.0109216, 0.0504435, 0.0631463, 0.0821439, 0.0419877, 0.0438972, 0.0384495, 0.0463524, 0.0111912, 0.011622, 0.0336034, 0.0262944, 0.0254878, 0.0267689, 0.010309, 0.0216442, 0.0307755, 0.0291366, 0.0734715, 0.0989974, 0.0181563, 0.017729, 0.00194336, 0.0158431, 0.0175409, 0.00325525, 0.00732206, 0.044855, 0.0403727, 0.0106744, 0.0557933, 0.020963, 0.0131639, 0.0244731, 0.0523589, 0.031216, 0.0101205, 0.0277985, 0.00382546, 0.0114795, 0.0144214, 0.0382903, 0.0531966, 0.022875, 0.0218322, 0.0513705, 0.0321308, 0.00357058, 0.0194778, 0.00327782, 0.00712051, 0.0354571, 0.0116741, 0.0438153, 0.0284959, 0.0416083, 0.00649324, 0.0148698, 0.04567, 0.0505181, 0.0748556, 0.0255841, 0.0194223, 0.001542, 0.0249148, 0.0224631, 0.000951876, 0.0114154, 0.0462749, 0.010573, 0.0156476, 0.00309125, 0.0411342, 0.000912395, 0.0141393, 0.0608828, 0.0112645, 0.0337224, 0.0111988, 0.0591729, 0.0254871, 0.00369514, 0.0265921, 0.0244877, 0.0249578, 0.00826092, 0.0485205, 0.00297315, 0.0173955, 0.0371355, 0.045098, 0.0283521, 0.0572913, 0.0340423, 0.0249628, 0.0316698, 0.0123546, 0.0175292, 0.0284741, 0.018637, 0.00470581, 0.0352617, 0.0113428, 0.0154244, 0.0435966, 0.0237605, 0.0279955, 0.00756264, 0.0377229, 0.029987, 0.0275887, 0.00121916, 0.0247213, 0.0488559, 0.00619757, 0.0268829, 0.0128975, 0.00678442, 0.0173071, 0.0796117, 0.0199035, 0.0242611, 0.00432132, 0.0432552, 0.0120347, 0.0585888, 0.0246644, 0.0387079, 0.0427926, 0.00178744, 0.00911003, 0.023025, 0.00590113, 0.0298091, 0.0525797, 0.0391936, 0.0345157, 0.0431648, 0.0329945, 0.0168021, 0.0134077, 0.0373652, 0.0233828, 0.0161444, 0.0154866, 0.0147116, 0.0155894, 0.00147645, 0.0412678, 0.0324053, 0.00704322, 0.0282704, 0.0136992, 0.0161637, 0.0373706, 0.0169812, 0.0134502, 0.0539984, 0.0182557, 0.06106, 0.0149052, 0.0188486, 0.0129548, 0.0378317, 0.0182956, 0.0242028, 0.00926688, 0.0249385, 0.0238667, 0.0316035, 0.00888506, 0.00474134, 0.0473777, 0.0265655, 0.020148, 0.01125, 0.0369038, 0.0329455, 0.022221, 0.0154299, 0.0279567, 0.0152538, 0.0571953, 0.0462175, 0.023024, 0.00141323, 0.00751389, 0.0246872, 0.0169083, 0.0390692, 0.0347968, 0.0323267, 0.0149315, 0.0130122, 0.00527479, 0.0267901, 0.027673, 0.0139875, 0.0215809, 0.0261371, 0.0187673, 0.0178381, 0.0441986, 0.0240305, 0.029194, 0.0260698, 0.0122326, 0.0080085, 0.0170494, 0.0144795, 0.0841703, 0.0599174, 0.0648378, 0.0108677, 0.065435, 0.0238769, 0.0342245, 0.00795335, 0.0148736, 0.0140647, 0.0233215, 0.00519156, 0.0218554, 0.0204252, 0.0430046, 0.0200593, 0.046889, 0.00387785, 0.00733695, 0.0135752, 0.0566673, 0.0208809, 0.0662126, 0.0113594, 0.0152505, 0.0112623, 0.0211804, 0.047773, 0.00421527, 0.0197073, 0.0180571, 0.0174684, 0.00478037, 0.00189724, 0.0170761, 0.00612118, 0.0103944, 0.012485, 0.0100863, 0.0596607, 0.023725, 0.0305424, 0.0453768, 0.0297165, 0.0173304, 0.0472817, 0.0274069, 0.00271039, 0.0623715, 0.0133433, 0.0296209, 0.0413364, 0.0274676, 0.00563011, 0.0557072, 0.0114112, 0.0134936, 0.0350977, 0.0399079, 0.0035514, 0.00548041, 0.0304859, 0.0503224, 0.0124883, 0.0275386, 0.0317563, 0.00501544, 0.0427375, 0.0297393, 0.0116412, 0.0242355, 0.0608198, 0.0350537, 0.00116317, 0.0218736, 0.0115511, 0.0108483, 0.0266978, 0.0529305, 0.0578871, 0.0419926, 0.0155775, 0.0376274, 0.0175269, 0.0281111, 0.0207922, 0.020667, 0.046912, 0.00944029, 0.0308977, 0.0040176, 0.0370261, 0.0291486, 0.0228234, 0.0200459, 0.0487329, 0.0096446, 0.0317414, 0.0012123, 0.0369088, 0.0195336, 0.0539955, 0.00838641, 0.0085251, 0.0452382, 0.0118937, 0.0135776, 0.0273137, 0.037194, 0.0481617, 0.0168129, 0.00344849, 0.00231762, 0.00935307, 0.0204991, 0.0168162, 0.0107976, 0.00049421, 0.0215241, 0.00833005, 0.0464038, 0.0149636, 0.0492677, 0.0209374, 0.016926, 0.0295792, 0.0107954, 0.053429, 0.0542687, 0.00492588, 0.0383126, 0.0167731, 0.0222165, 0.0528811, 0.0230255, 0.0693576, 0.00457115, 0.0284816, 0.0251002, 0.0149702, 0.00438792, 0.0299925, 0.015801, 0.010323, 0.0283923, 0.0760767, 0.0289723, 0.0305846, 0.0091906, 0.0529573, 0.0486276, 0.0595953, 0.02464, 0.0319646, 0.0250823, 0.0345044, 0.0201229, 0.0229022, 0.027071, 0.0549707, 0.0555916, 0.0144873, 0.0607668, 0.0247241, 0.0296478, 0.0247283, 0.00826943, 0.0027374, 0.0477163, 0.0211555, 0.0277752, 0.0450367, 0.0016895, 0.0144982, 0.0683687, 0.0134103, 0.0323448, 0.0416981, 0.0126333, 0.0274801, 0.0173936, 0.0175982, 0.0383774, 0.0177096, 0.0383898, 0.0827966, 0.0529752, 0.00838889, 0.0235426, 0.00633194, 0.0188861, 0.0207818, 0.0302727, 0.0300178, 0.00213193, 0.0105439, 0.0166919, 0.0083324, 0.0394844, 0.0155861, 0.024172, 0.0372446, 0.00364753, 0.0227596, 0.0227438, 0.0332317, 0.00478302, 0.0282485, 0.0309714, 0.00818494, 0.0684539, 0.0107604, 0.0127163, 0.0220162, 0.00508291, 0.0493954, 0.0279027, 0.0176361, 0.0687992, 0.0168473, 0.00646659, 0.0465223, 0.0168482, 0.0129084, 0.0299617, 0.00764747, 0.0238215, 0.0201891, 0.0222311, 0.038751, 0.00336197, 0.0244578, 0.0437661, 0.0227474, 0.0144734, 0.0728547, 0.0338973, 0.024127, 0.0219399, 0.0223192, 0.0339845, 0.0129905, 0.0120128, 0.00353407, 0.0530599, 0.00911989, 0.0709424, 0.047462, 0.014198, 0.0137784, 0.0116136, 0.0433674, 0.0188002, 0.0583726, 0.00669071, 0.0270413, 0.00529299, 0.0239759, 0.0496517, 0.0418233, 0.0135487, 0.0202819, 0.0335337, 0.00333593, 0.00316585, 0.0198066, 0.0188526, 0.0434721, 0.0166959, 0.01057, 0.00907873, 0.00418261, 0.000584886, 0.0140144, 0.00663919, 0.0380056, 0.0338935, 0.0424427, 0.0339139, 0.0143589, 0.0576837, 0.0258263, 0.0487512, 0.0545859, 0.0119428, 0.032228, 0.00489409, 0.0210694, 0.0278277, 0.0234909, 0.0297506, 0.00146061, 0.0303708, 0.0188033, 0.001353, 0.028579, 0.0129818, 0.00288563, 0.0395404, 0.0692491, 0.00816547, 0.0492202, 0.0224307, 0.0226959, 0.0347792, 0.0534697, 0.0422589, 0.00637103, 0.0425888, 0.0444945, 0.0195122, 0.0105122, 0.0252613, 0.011841, 0.0562151, 0.0275066, 0.0466407, 0.0141794, 0.0385663, 0.0801941, 0.0523731, 0.0367852, 0.00627929, 0.00778374, 0.0210723, 0.0140191, 0.0178984, 0.0128053, 0.00245624, 0.0276534, 0.0384526, 0.023971, 0.0208125, 0.00572081, 0.00597191, 0.0396726, 0.0260341, 0.0289082, 0.0198403, 0.0187301, 0.0174939, 0.00679998, 0.0293682, 0.00836141, 0.0128378, 0.0273096, 0.00245366, 0.00940126, 0.0427949, 0.0153332, 0.0492331, 0.00182978, 0.0186797, 0.030636, 0.0176189, 0.00381225, 0.0372167, 0.0655248, 0.0268293, 0.0124543, 0.0224908, 0.0215516, 0.0434432, 0.0165754, 0.00251209, 0.0641215, 0.0436327, 0.0326837, 0.0108414, 0.0199273, 0.000474305, 0.0403016, 0.0123715, 0.0245496, 0.00942462, 0.106827, 0.0377788, 0.0475878, 0.0300096, 0.0366462, 0.0114253, 0.045488, 0.00784134, 0.0524476, 0.0156522, 0.0435879, 0.0282787, 0.0277798, 0.0275385, 0.0197979, 0.0310519, 0.0181837, 0.0247465, 0.00289679, 0.00881636, 0.0309885, 0.0389096, 0.0583277, 0.0548869, 0.0356401, 0.00455147, 0.0342682, 0.00865, 0.045301, 0.0128294, 0.00233202, 0.0175808, 0.0119021, 0.019404, 0.0447745, 0.0266902, 0.0378417, 0.0291604, 0.0282466, 0.0164702, 0.0175502, 0.0440736, 0.0140348, 0.00829641, 0.00652337, 0.0194403, 0.0141727, 0.0303319, 0.0202748, 0.0149879, 0.018834, 0.0518168, 0.0347685, 0.00530144, 0.0166763, 0.0518379, 0.0287858, 0.0234288, 0.0252454, 0.0092001, 0.00707483, 0.00935596, 0.0924297, 0.0357306, 0.0166131, 0.0174924, 0.000938453, 0.0216929, 0.0162218, 0.0386692, 0.0348659, 0.00275646, 0.028046, 0.0512553, 0.0310432, 0.0219346, 0.011788, 0.0913308, 0.0233275, 0.0266144, 0.0232796, 0.0305067, 0.0198962, 0.00504739, 0.0244104, 0.00471102, 0.0216903, 0.0145179, 0.0295835, 0.0407111, 0.0207754, 0.0329269, 0.0123217, 0.00200517, 0.0128991, 0.0308487, 0.0119389, 0.0147089, 0.0335511, 0.00654039, 0.0343339, 0.00192702, 0.0478051, 0.0115833, 0.0160631, 0.02825, 0.0158287, 0.0367855, 0.0288953, 0.0194646, 0.0438635, 0.0317323, 0.0410595, 0.0421403, 0.0137133, 0.0541443, 0.0179899, 0.013065, 0.0261807, 0.0367175, 0.0255923, 0.00722014, 0.039012, 0.0226934, 0.0455574, 0.0295316, 0.0498413, 0.0127178, 0.0169758, 0.0249341, 0.0174678, 0.0266369, 0.0067023, 0.0184281, 0.0229335, 0.0237966, 0.0103706, 0.018117, 0.0173945, 0.0419262, 0.0408565, 0.0341902, 0.0308254, 0.0197088, 0.0114221, 0.0475501, 0.0134252, 0.0304848, 0.0442225, 0.0311052, 0.032665, 0.0419616, 0.00714235, 0.00917353, 0.0415193, 0.00436793, 0.0400715, 0.00809668, 0.0230024, 0.039144, 0.020677, 0.00866833, 0.018739, 0.0109276, 0.0145522, 0.0293041, 0.00938121, 0.023613, 0.00417176, 0.0171607, 0.027671, 0.0281868, 0.0500131, 0.0436502, 0.0270946, 0.0122671, 0.0184893, 0.0214506, 0.0169413, 0.0416923, 0.0200629, 0.023655, 0.0195115, 0.0338299, 0.0316958, 0.0133237, 0.0345569, 0.0128064, 0.0198462, 0.00881491, 0.0612614, 0.0425514, 0.00156024, 0.000574772, 0.0117301, 0.0240903, 0.0127189, 0.0199562, 0.0151372, 0.0713681, 0.0281942, 0.0197563, 0.0553866, 0.00888762, 0.0517228, 0.0213286, 0.0313849, 0.0219319, 0.0277575, 0.073227, 0.00928775, 0.0431152, 0.0122986, 0.000870927, 0.0363195, 0.0148137, 0.0257021, 0.0276146, 0.0353526, 0.0263595, 0.00105778, 0.033135, 0.0240059, 0.0447769, 0.0122346, 0.00282525, 0.0173567, 0.0132204, 0.0187824, 0.050627, 0.00998955, 0.021202, 0.0159732, 0.0164753, 0.0244719, 0.0502431, 0.0346086, 0.0193079, 0.0119431, 0.0376194, 0.0237432, 0.0605523, 0.00604322, 0.00372287, 0.0300619, 0.0218607, 0.0217004, 0.0279595, 0.00158789, 0.0229706, 0.0379179, 0.0364169, 0.00114001, 0.0106972, 0.0101676, 0.0115614, 0.0199815, 0.0133889, 0.0364189, 0.00844302, 0.022792, 0.00931887, 0.0420943, 0.0214058, 0.0148791, 0.0390608, 0.0252266, 0.0409888, 0.0240766, 0.0451524, 0.0138163, 0.0427927, 0.028061, 0.0374306, 0.0484096, 0.018328, 0.0215977, 0.0176766, 0.0107143, 0.0285952, 0.00848236, 0.0314686, 0.0204088, 0.0526469, 0.00526278, 0.0627104, 0.0259202, 0.055018, 0.0393252, 0.0137311, 0.00214613, 0.0429364, 0.0331394, 0.0257801, 0.0296698, 0.00857345, 0.00520222, 0.074714, 0.0132115, 0.032322, 0.0155168, 0.00965835, 0.0368867, 0.0260744, 0.0160951, 0.0216066, 0.0160483, 0.0197615, 0.0188267, 0.0399149, 0.0250735, 0.0337694, 0.00739059, 0.0177224, 0.0315813, 0.00853022, 0.0175838, 0.0546278, 0.00689675, 0.0274471, 0.00567852, 0.0385826, 0.0758556, 0.0297307, 0.00644384, 0.00349158, 0.00112988, 0.0444111, 0.00629767, 0.00409421, 0.0837418, 0.00260147, 0.072568, 0.012308, 0.214726, 0.0163593, 0.0421603, 0.0238437, 0.0358828, 0.0618073, 0.028787, 0.00245065, 0.0119422, 0.0282019, 0.00727306, 0.0196658, 0.0488012, 0.0416693, 0.0574152, 0.011256, 0.035216, 0.0515491, 0.029668, 0.0286747, 0.00880083, 0.0113425, 0.0148352, 0.0634465, 0.0239142, 0.0298862, 0.0854104, 0.0095698, 0.0266398, 0.0289958, 0.0109379, 0.0175799, 0.0173061, 0.00279802, 0.0156135, 0.0506254, 0.00673574, 0.00263812, 0.0171516, 0.0189692, 0.0456675, 0.0258954, 0.0266826, 0.0372619, 0.0158816, 0.0107751, 0.0503346, 0.0118543, 0.030103, 0.0492446, 0.00310766, 0.0506919, 0.0207693, 0.0668959, 0.0541381, 0.0470427, 0.0104146, 0.0517878, 0.0049333, 0.0113035, 0.0235824, 0.0397419, 0.0227705, 0.0221661, 0.0154589, 0.00219157, 0.01272, 0.0439562, 0.0234262, 0.0402398, 0.040432, 0.0150143, 0.0191851, 0.0289043, 0.0636367, 0.0279782, 0.0360168, 0.0194273, 0.00574961, 0.0323867, 0.0150567, 0.0440437, 0.0298812]
	Time	[1607]
	TimeBench	[0]
	TimeInit	[146]
	TimeMaps	[1460]
