Stats:
	Average	[0.075065]
	Folder	[mesh015]
	Guessed	[0.938477]
	NumGen	[100, 100]
	ObjFn	[0]
	PerSampleErrors	[0.010066, 0, 0.00591203, 0, 0.0252734, 0.0262779, 0.0970877, 0.0110682, 0.0522769, 0.0789707, 0.205547, 0.487408, 0.0265228, 0.0668621, 0.025333, 0.0783634, 0.0281358, 0.170869, 0.00976382, 0.0249448, 0.0204907, 0.0595574, 0.0750233, 0.123351, 0.0840969, 0, 0.142162, 0.0489579, 0.123247, 0.0847104, 0.0803827, 0.162185, 0.0534113, 0.034113, 0.0327918, 0.0281777, 0.093989, 0.0374396, 0.0164535, 0.0439805, 0.0524797, 0.0492067, 0.0483758, 0.0314432, 0.0432321, 0.0117356, 0.0811204, 0.354976, 0.0606205, 0.0792227, 0.0325186, 0.0816552, 0.0367474, 0.188006, 0.0374798, 0.0252273, 0.0317086, 0.0723175, 0.0118242, 0.110274, 0.0713354, 0.0341443, 0.192273, 0.0431708, 0.0901055, 0.0643209, 0.0403454, 0.0553125, 0.0254063, 0.0314724, 0.0947375, 0.0738413, 0.0383099, 0.112429, 0.0521128, 0.0169503, 0.0389204, 0.0943676, 0.311281, 0.0809283, 0.0713194, 0.182332, 0.0414999, 0.0157076, 0.0299971, 0.0501016, 0.092522, 0.0201214, 0.0447294, 0.0565976, 0.0122379, 0.00831568, 0.0288368, 0.0434215, 0.224938, 0.0724225, 0.0351559, 0.0693707, 0.0228163, 0.0306423, 0.0360674, 0.0433524, 0.0123096, 0.0496129, 0.105234, 0.0196574, 0.0096173, 0.074815, 0.107525, 0.0436795, 0.0296578, 0.334879, 0.0954141, 0.0833414, 0.0901281, 0.0229665, 0.114307, 0.0679692, 0.0224623, 0.0829266, 0.128547, 0.0626305, 0.0180233, 0.0440101, 0.0339951, 0.0737826, 0.0240683, 0.0301685, 0.15052, 0.159644, 0.10319, 0.0450037, 0.0345249, 0.0465068, 0.48186, 0.0162982, 0.0435348, 0, 0.00878108, 0.0198042, 0.444996, 0.0640971, 0.071523, 0.013788, 0.0804268, 0.137992, 0.0921014, 0.158937, 0.093349, 0.0701582, 0.00862632, 0.0443941, 0.0213784, 0.0541608, 0.172775, 0.0269158, 0.0690583, 0.0773591, 0.0699408, 0.160359, 0.0289559, 0.0257786, 0.0730468, 0.0451576, 0.0643081, 0.0431875, 0.0192569, 0.0223432, 0.0622395, 0.254051, 0.0273941, 0.0602296, 0.0621665, 0.042848, 0.0343412, 0.118236, 0.0559771, 0.00979557, 0.045981, 0.0451557, 0.0772447, 0.0631974, 0.0138572, 0.0521281, 0.0879039, 0.0376117, 0.016399, 0.234077, 0.0708739, 0.0545133, 0, 0.117083, 0.080757, 0.0923647, 0.0250048, 0.0450917, 0.116372, 0.0429522, 0.0745773, 0.0405786, 0.146157, 0.0132524, 0.0737863, 0.0413754, 0.0196889, 0.165388, 0.0293439, 0.0882994, 0.0182569, 0.0465976, 0.0569603, 0.0264433, 0.020957, 0.055562, 0.129588, 0.0552933, 0.0292424, 0.0518737, 0.0114088, 0.102063, 0.280515, 0.0242184, 0.114582, 0.0833636, 0.0273884, 0.0208274, 0.0100447, 0, 0.0463084, 0.151889, 0.0550486, 0.0206822, 0.0311568, 0.0496761, 0.127344, 0.0377513, 0.0726261, 0.0374628, 0.0701819, 0.0877861, 0.216004, 0.116679, 0.0414191, 0.0490195, 0.0546221, 0.0515425, 0.0567224, 0.0783502, 0.535093, 0.15079, 0.155214, 0.0387519, 0.0699513, 0.072761, 0.0714157, 0.0421624, 0.0512807, 0.0459473, 0.172025, 0.568499, 0.125202, 0.0933446, 0.0481374, 0.0515131, 0.107694, 0.0128158, 0.0795544, 0.0383778, 0.0354014, 0.0395116, 0.049911, 0.0189739, 0.0327054, 0.0500784, 0.120467, 0.0968202, 0.0870592, 0.0307544, 0.0625006, 0.0526603, 0.0357365, 0.0597121, 0.0489127, 0.0415227, 0.00599718, 0.396382, 0.312577, 0.0387549, 0.0157932, 0.0473828, 0.029193, 0.00454711, 0.0159745, 0.035809, 0.0327111, 0.467407, 0.0744692, 0.0486115, 0.041243, 0.130901, 0.012441, 0.0225583, 0.105564, 0.154789, 0.0424387, 0.0882384, 0.034725, 0.0447476, 0.293992, 0.0576431, 0.0469131, 0.121429, 0.128634, 0.390332, 0.0563471, 0.0374511, 0.04765, 0.0284721, 0.0764193, 0.064971, 0.0533477, 0.0081113, 0.0173889, 0.0292968, 0.145432, 0.0141969, 0.0717391, 0.0399907, 0.0275241, 0.0338363, 0.432501, 0.0522985, 0.00753841, 0.0109598, 0.00600407, 0.11771, 0.0452002, 0.0113211, 0.0766009, 0.0212104, 0.0332168, 0.0328306, 0.0227178, 0.00875607, 0.0448247, 0.0824373, 0.0811338, 0.0546678, 0.0369721, 0.0328724, 0.0222, 0.0439924, 0.125867, 0.0501122, 0.0680854, 0.0532671, 0.0196856, 0.0539102, 0.0275847, 0.00765325, 0.0345099, 0.0291611, 0.0666967, 0.0837765, 0.114561, 0.192431, 0.0085616, 0.044095, 0.0694379, 0.0219102, 0.013542, 0.458846, 0.080826, 0.0242883, 0.0431301, 0.0574533, 0.258677, 0.0393672, 0.0210615, 0.00613152, 0.0366714, 0.0233155, 0.118979, 0.0671466, 0.0371471, 0.0357641, 0.076463, 0.0314774, 0.105522, 0.0115989, 0.0718486, 0.0479117, 0.0163631, 0.0995571, 0.0571403, 0.0589545, 0.0170283, 0.0398208, 0.0298172, 0.182054, 0.393286, 0.0187722, 0.0327469, 0.0998312, 0.0191618, 0.0336367, 0.092178, 0.0505759, 0.019885, 0.246336, 0.0270891, 0.497897, 0.0349522, 0.0759363, 0.0880136, 0.0262894, 0.115917, 0.126892, 0.0660118, 0.0746292, 0.0250202, 0.0661752, 0.0488978, 0.028748, 0.0601729, 0.0415286, 0.0251688, 0.0571724, 0.103897, 0.016288, 0.0104316, 0.0791627, 0.0853395, 0.129339, 0.0180986, 0.0460718, 0.0426139, 0.0308364, 0.0362574, 0.0564146, 0.0665828, 0.0173098, 0.0424238, 0.048987, 0.0595844, 0.0153476, 0.0437331, 0.0123056, 0.056106, 0.0201419, 0.0250422, 0.0728295, 0.0390455, 0.0436011, 0.0177939, 0.0591233, 0.0168917, 0.0207271, 0.0527536, 0.0497921, 0.116668, 0.0382367, 0.210323, 0.0737071, 0.0229809, 0.181103, 0.204059, 0.0372556, 0.0856973, 0.196886, 0.111227, 0.0230455, 0.0210015, 0.0712674, 0.0113668, 0.00956587, 0.0483401, 0.0629984, 0.0397197, 0.0277511, 0.0476951, 0.0375233, 0.245049, 0.131381, 0.0411494, 0.116572, 0.0502139, 0.0538877, 0.00917648, 0.0319731, 0.0346142, 0.0157128, 0.0490844, 0.100759, 0.148771, 0.0602669, 0.065115, 0.027367, 0.0221665, 0.0525854, 0.0915874, 0.0880551, 0.0546355, 0.112776, 0.366335, 0.0219486, 0.0583344, 0.0103738, 0.049437, 0.0820326, 0.0682609, 0.0334199, 0.0122085, 0.0691189, 0.0118212, 0.0319899, 0.0436312, 0.116194, 0.0146145, 0.139076, 0.141796, 0.00887548, 0.0645824, 0.131225, 0.0540431, 0.0568163, 0.165288, 0.0464197, 0.0781314, 0.0826833, 0.107439, 0.174331, 0.0276785, 0.159941, 0.0470459, 0.0293125, 0.0355618, 0.177058, 0.0416479, 0.0870087, 0.0140434, 0.071774, 0.0572276, 0.028028, 0.0642198, 0.0271245, 0.510233, 0.165886, 0.0358958, 0.0357748, 0.0521917, 0.0319877, 0.0121916, 0.0135963, 0.136651, 0.0164573, 0.0599772, 0.0151807, 0.0218071, 0.0667624, 0.0610568, 0.104963, 0.220901, 0.142046, 0.0108561, 0.0144198, 0.092821, 0.0340587, 0.00990363, 0.189165, 0.0930951, 0.0445884, 0.0784445, 0.0760576, 0.0304667, 0.145399, 0.141738, 0.084044, 0.00993364, 0.0326667, 0.0139136, 0, 0.109426, 0.0236592, 0.0319511, 0.0720642, 0.0544211, 0.0529863, 0.018767, 0.0355246, 0.0619525, 0.0874766, 0.0504237, 0.0287489, 0.0331628, 0.0328157, 0.0476521, 0.0863055, 0.0340437, 0.0425154, 0.0609404, 0.32096, 0.0446536, 0.0156468, 0.0227275, 0.0908466, 0.0879664, 0.0447138, 0.115326, 0.0442961, 0.0174534, 0.0833624, 0.0198511, 0.0935687, 0.267681, 0.0378177, 0.0472063, 0.0240705, 0.0093811, 0.102008, 0.054244, 0.0809513, 0.204332, 0.108401, 0.0362236, 0.0661354, 0.0170206, 0.0817847, 0.0651195, 0.0606747, 0.194435, 0.0926901, 0.103993, 0.0409771, 0.0260232, 0.0541855, 0.0864562, 0.215076, 0.0187771, 0.0422219, 0.190799, 0.0451484, 0.0297111, 0.0183745, 0.119077, 0.0476814, 0.182148, 0.0312448, 0.0422706, 0.0412853, 0.021525, 0.0479255, 0.0262423, 0.0477633, 0, 0.0716227, 0.0101999, 0.0415385, 0.0594117, 0.0240172, 0.0398332, 0.0442118, 0.0226697, 0.020831, 0.042845, 0.0133807, 0.0593468, 0.0615427, 0.122976, 0.0798678, 0.0488172, 0.576847, 0.203999, 0.143506, 0.0393054, 0.104232, 0.127728, 0.129861, 0.0352147, 0.0438587, 0.040824, 0.0553395, 0.544949, 0.0677625, 0.00871682, 0.0707416, 0.0196249, 0.0631879, 0.0413893, 0.0873457, 0.0123417, 0.0623163, 0.159382, 0.0728481, 0.025385, 0.0611181, 0.0916361, 0.457497, 0.116599, 0.122974, 0.0487326, 0.0425735, 0.036791, 0.0686306, 0.0578378, 0.0209601, 0.0545908, 0.0709984, 0.030947, 0.085381, 0.0914647, 0.0181008, 0.0319828, 0.0610601, 0.0476626, 0.0389663, 0.0735337, 0.215622, 0.0470204, 0.0313963, 0.0575969, 0.0418615, 0.139122, 0.00587506, 0.0280163, 0.399828, 0, 0.0503664, 0.0934351, 0.0364069, 0.0143764, 0.0129141, 0.132737, 0.0143867, 0.0950609, 0.493188, 0, 0.099055, 0.0585582, 0.0608771, 0.0570454, 0.0231082, 0.0250203, 0.0286608, 0.151048, 0.0215675, 0.0129699, 0.0497398, 0.0107926, 0.0848803, 0.029693, 0.0379921, 0.491291, 0.0403017, 0.0204871, 0.0962614, 0.0815817, 0.0618597, 0.060472, 0.107189, 0.139635, 0.0121923, 0.0463505, 0.00886664, 0.0849044, 0.205475, 0.0298638, 0.0201891, 0.0142685, 0.262038, 0.0513329, 0.048986, 0.0778073, 0.0486411, 0.0860706, 0.010547, 0.0189698, 0.0500518, 0.010111, 0.0771099, 0.0867969, 0.0354987, 0.100544, 0.0119865, 0.0350787, 0.115366, 0.0146665, 0.0428767, 0.440696, 0.0217732, 0.0226433, 0.104624, 0.0283666, 0.113503, 0.0318291, 0.0189267, 0.0536612, 0.0565178, 0.0367211, 0.123856, 0.0492957, 0.0876664, 0.0274957, 0.0752942, 0.320699, 0.0644739, 0.0494408, 0.0251302, 0.0899117, 0.01214, 0.0580316, 0, 0.0637072, 0.0229757, 0.0228657, 0.120508, 0.0604469, 0.0874089, 0.0318078, 0.0403529, 0.0680879, 0.039932, 0.0764933, 0.139349, 0.142314, 0.00911026, 0.0726918, 0.0111164, 0.286747, 0, 0.040821, 0.127464, 0.0785813, 0.0353965, 0.0372717, 0.00622833, 0.00974225, 0.036776, 0.37221, 0.0834026, 0.0419152, 0.0671021, 0.049512, 0.0678042, 0.232206, 0.495946, 0.190151, 0.0313511, 0.031011, 0.0766972, 0.0381655, 0.132611, 0.0496746, 0.0703878, 0.0410172, 0.044229, 0.0940727, 0.113218, 0.064995, 0.149765, 0.0543588, 0.027559, 0.0450636, 0.0503337, 0.0650822, 0.557142, 0.0502367, 0.0480794, 0.344108, 0.031893, 0.056571, 0.130779, 0.0510085, 0.0156587, 0.0405607, 0.0241015, 0.306248, 0.0743201, 0.106846, 0.0223126, 0.0453877, 0, 0.0320473, 0.269527, 0.015694, 0.0415346, 0.25202, 0.0692981, 0.0177939, 0.0352253, 0.0375753, 0.104503, 0.0697432, 0.0818526, 0.0896758, 0.0847112, 0.0866977, 0.0668894, 0, 0.0231339, 0.132495, 0.396808, 0.0297282, 0.0478702, 0.164626, 0.0410842, 0.012978, 0.163385, 0.00825664, 0.0368045, 0.303245, 0.0446624, 0.0356538, 0.0207585, 0.0304625, 0.0331513, 0.00799094, 0.0696246, 0.0266325, 0.0379014, 0.0281468, 0.0599021, 0.0448784, 0.0531814, 0.0446308, 0.0712027, 0.0167272, 0.0478986, 0.0235997, 0.0255231, 0.0220633, 0.0435865, 0.0359318, 0.0166631, 0.313667, 0.00716311, 0.0498388, 0.0271948, 0.144624, 0.317972, 0.0284061, 0.0696096, 0.0697961, 0.0631131, 0.0736081, 0.0755183, 0.0158241, 0.109242, 0.0402614, 0.116932, 0.054643, 0.158846, 0.0442482, 0.0327647, 0.0331216, 0.00952306, 0.113739, 0.0614513, 0.361985, 0.00913251, 0.0543414, 0.0508773, 0.0537309, 0.0459435, 0.0228857, 0.0224997, 0.0373046, 0.0258843, 0.0110574, 0.0502269, 0.0929728, 0.059909, 0.075965, 0.0990029, 0.0389115, 0.00942692, 0.00900032, 0.0410205, 0.0335796, 0.0232486, 0.109695, 0.051473, 0.15018, 0.0342202, 0.0682881, 0.0267677, 0.0290985, 0.0305322, 0.0509742, 0.142653, 0.036705, 0.0581991, 0.0112381, 0.0405797, 0.0607025, 0.0283872, 0.144542, 0.0477908, 0.0500536, 0.0777177, 0.091803, 0.023941, 0.0691473, 0.136183, 0.566926, 0.0577257, 0.0402701, 0.0251226, 0.0743443, 0.359012, 0.0925825, 0.0364378, 0.0130522, 0.151195, 0.0325683, 0.0142798, 0.0470931, 0.0495821, 0.0363013, 0.0381007, 0.121601, 0.19103, 0.0414989, 0.0956878]
	Time	[26]
	TimeBench	[0]
	TimeInit	[13]
	TimeMaps	[12]
