Stats:
	Average	[0.220048]
	Folder	[horse7]
	Guessed	[0.568359]
	NumGen	[7, 7]
	ObjFn	[0]
	PerSampleErrors	[0.255566, 0.947102, 0.951636, 0.00164861, 0.0151867, 0.0535577, 0.222043, 0.0040229, 0.28142, 0.255373, 0.11736, 0.384063, 0.369052, 0.0607114, 0.185282, 0.091319, 0.123846, 0.130485, 0.242184, 0.150954, 0.180023, 0.115675, 0.234482, 0.276319, 0.0641256, 0.607238, 0.231827, 0.130502, 0.289547, 0.09987, 0.0809507, 0.0385949, 0.627255, 0.395961, 0.259706, 0.245345, 0.170718, 0.262584, 0.0360493, 0.0592863, 0.215236, 0.130101, 0.274108, 0.353046, 0.17362, 0.0967653, 0.109999, 0.0310797, 0.157625, 0.363334, 0.0642354, 0.376418, 0.0359453, 0.0854157, 0.0768126, 0.232277, 0.061438, 0.424977, 0.32399, 0.398452, 0.325792, 0.20053, 0.220983, 0.107068, 0.149522, 0.276187, 0.170575, 0.145009, 0.153999, 0.0848389, 0.0527786, 0.32232, 0.800372, 0.141888, 0.334936, 0.200895, 0.0556529, 0.0387961, 0.230787, 0.192526, 0.762083, 0.216467, 0.0379282, 0.302706, 0.0887041, 0.160503, 0.459795, 0.158624, 0.167568, 0.0251043, 0.361546, 0.363523, 0.225047, 0.174698, 0.208795, 0.171644, 0.174985, 0.162779, 0.47385, 0.276043, 0.259024, 0.147852, 0.102024, 0.0911297, 0.425605, 0.233555, 0.372843, 0.153514, 0.168074, 0.134546, 0.367054, 0.0943914, 0.109926, 0.126638, 0.259979, 0.0291233, 0.173065, 0.0980036, 0.326951, 0.404184, 0.110492, 0.231298, 0.1941, 0.268953, 0.245964, 0.154042, 0.824698, 0.220646, 0.0544444, 0.148364, 0.0308109, 0.864556, 0.144883, 0.0394171, 0.0791658, 0.34121, 0.298692, 0.505362, 0.203375, 0.257899, 0.129388, 0.11344, 0.0710903, 0.3112, 0.0292524, 0.147511, 0.136146, 0.170803, 0.260872, 0.0903796, 0.152727, 0.253134, 0.0671395, 0.0230105, 0.0950944, 0.0554705, 0.267559, 0.692069, 0.35817, 0.339117, 0.314393, 0.315707, 0.0709768, 0.103612, 0.0593796, 0.12633, 0.366816, 0.0686351, 0.0184717, 0.37191, 0.121893, 0.299476, 0.0961049, 0.177829, 0.335811, 0.362288, 0.171269, 0.358245, 0.0546345, 0.306593, 0.0495525, 0.0956877, 0.0160609, 0.193359, 0.200915, 0.100513, 0.186927, 0.118653, 0.217042, 0.0908366, 0.30865, 0.24927, 0.303657, 0.120044, 0.186745, 0.110159, 0.0884977, 0.852833, 0.505773, 0.341206, 0.30822, 0.27696, 0.367673, 0.180067, 0.0927803, 0.04257, 0.234118, 0.322523, 0.298028, 0.193279, 0.239586, 0.401484, 0.175807, 0.154736, 0.295178, 0.138088, 0.0623819, 0.179235, 0.118257, 0.115938, 0.418366, 0.295204, 0.137252, 0.862028, 0.0783888, 0.200348, 0.127093, 0.14095, 0.253556, 0.346709, 0.0622479, 0.0711016, 0.203193, 0.370392, 0.106454, 0.144603, 0.0294483, 0.13964, 0.0595514, 0.066448, 0.0484122, 0.199908, 0.0543787, 0.366611, 0.326217, 0.0434251, 0.369498, 0.117508, 0.308278, 0.0127665, 0.150674, 0.130304, 0.170159, 0.0616786, 0.107669, 0.670987, 0.114587, 0.301947, 0.575362, 0.309633, 0.116376, 0.231622, 0.398495, 0.168942, 0.097764, 0.114701, 0.356826, 0.0585727, 0.308268, 0.0290584, 0.1418, 0.378338, 0.128516, 0.186473, 0.192737, 0.0366434, 0.244345, 0.862334, 0.213053, 0.364967, 0.150176, 0.84125, 0.184263, 0.182313, 0.711619, 0.470962, 0.0783338, 0.211528, 0.165757, 0.0498385, 0.0429113, 0.735663, 0.111545, 0.132809, 0.156222, 0.235017, 0.38564, 0.285345, 0.158898, 0.130165, 0.187696, 0.568492, 0.268192, 0.410012, 0.294768, 0.131389, 0.191657, 0.0840949, 0.298536, 0.118026, 0.201472, 0.21784, 0.0246454, 0.181203, 0.0648858, 0.114206, 0.207816, 0.182527, 0.272075, 0.126476, 0.129938, 0.326825, 0.177641, 0.216881, 0.077905, 0.306041, 0.183078, 0.135386, 0.0492055, 0.0961692, 0.0463094, 0.24003, 0.426825, 0.342844, 0.0770708, 0.101101, 0.293503, 0.216374, 0.167708, 0.0879155, 0.090252, 0.349468, 0.182593, 0.325492, 0.163605, 0.123168, 0.388748, 0.100814, 0.172034, 0.0465701, 0.476304, 0.0896521, 0.105765, 0.223899, 0.12571, 0.287173, 0.355204, 0.399557, 0.35937, 0.281592, 0.107685, 0.152396, 0.884044, 0.060385, 0.0430655, 0.029126, 0.11161, 0.0856827, 0.0465784, 0.576965, 0.179748, 0.0375892, 0.144252, 0.281954, 0.250649, 0.225888, 0.195927, 0.069029, 0.135934, 0.211598, 0.078678, 0.143143, 0.053906, 0.366593, 0.11513, 0.0676331, 0.888374, 0.300428, 0.289829, 0.108044, 0.153297, 0.398324, 0.19404, 0.154125, 0.303971, 0.382082, 0.371778, 0.180729, 0.0677594, 0.0362323, 0.295214, 0.0165756, 0.360426, 0.176206, 0.741922, 0.230143, 0.525012, 0.262182, 0.178705, 0.10237, 0.28332, 0.157887, 0.0672755, 0.552555, 0.898161, 0.1289, 0.125445, 0.208795, 0.137774, 0.0551777, 0.0459338, 0.172352, 0.23032, 0.107202, 0.323594, 0.156194, 0.160107, 0.288471, 0.349128, 0.243761, 0.218013, 0.234117, 0.286992, 0.137088, 0.328623, 0.165247, 0.0678066, 0.0704067, 0.0448661, 0.0101515, 0.0742011, 0.0859892, 0.0420181, 0.178091, 0.0892333, 0.202463, 0.10073, 0.141432, 0.414746, 0.0531786, 0.0570127, 0.125093, 0.205393, 0.157979, 0.181329, 0.0475018, 0.312614, 0.164742, 0.0843401, 0.208582, 0.775178, 0.367253, 0.124177, 0.10607, 0.0668114, 0.0811843, 0.401832, 0.0354691, 0.146994, 0.162853, 0.2477, 0.485194, 0.288527, 0.195738, 0.375896, 0.203892, 0.0577623, 0.186318, 0.236745, 0.412898, 0.192826, 0.340972, 0.108482, 0.00826255, 0.410525, 0.345827, 0.731221, 0.0859141, 0.0893288, 0.34641, 0.249206, 0.280337, 0.423153, 0.0982734, 0.192043, 0.361424, 0.306546, 0.384353, 0.16239, 0.108472, 0.803858, 0.125568, 0.168264, 0.0916634, 0.21052, 0.28481, 0.20477, 0.094792, 0.156883, 0.114863, 0.263946, 0.120205, 0.00868106, 0.298692, 0.145918, 0.0183804, 0.174364, 0.153539, 0.130293, 0.300221, 0.25747, 0.0783147, 0.109298, 0.304658, 0.0523894, 0.926789, 0.00688562, 0.0799296, 0.110455, 0.0655418, 0.797166, 0.508704, 0.0236854, 0.0945101, 0.239972, 0.0251863, 0.099621, 0.118345, 0.0876373, 0.142566, 0.261993, 0.315931, 0.372464, 0.950144, 0.0749998, 0.147223, 0.0497059, 0.148148, 0.237561, 0.314924, 0.107015, 0.313696, 0.236986, 0.239671, 0.0639809, 0.136192, 0.135844, 0.653314, 0.0910529, 0.147123, 0.154821, 0.187112, 0.123372, 0.371686, 0.343249, 0.201329, 0.264417, 0.0532259, 0.0252154, 0.122459, 0.0967996, 0.0928085, 0.177921, 0.230354, 0.272255, 0.352398, 0.135989, 0.0416242, 0.337331, 0.0470472, 0.274055, 0.371183, 0.371694, 0.116476, 0.213035, 0.316627, 0.0917686, 0.0877971, 0.34804, 0.0596052, 0.334892, 0.396047, 0.0560581, 0.0680417, 0.655223, 0.0274341, 0.34169, 0.803027, 0.136477, 0.182402, 0.21341, 0.104449, 0.131688, 0.382228, 0.213437, 0.24923, 0.132084, 0.16761, 0.338771, 0.207025, 0.32169, 0.381824, 0.0274639, 0.0560129, 0.305217, 0.159211, 0.904069, 0.10816, 0.061521, 0.0269402, 0.159154, 0.150491, 0.611956, 0.237532, 0.226144, 0.177598, 0.230121, 0.10049, 0.147875, 0.129926, 0.280405, 0.177965, 0.190276, 0.295831, 0.158238, 0.0492309, 0.0195789, 0.0446217, 0.0875527, 0.108352, 0.061701, 0.115092, 0.0333526, 0.914195, 0.200231, 0.150761, 0.0531145, 0.0942681, 0.0464981, 0.154007, 0.225456, 0.227647, 0.0358968, 0.0627187, 0.243959, 0.188045, 0.157508, 0.0508599, 0.0750049, 0.227078, 0.180593, 0.229516, 0.185156, 0.178221, 0.369903, 0.250771, 0.110613, 0.0580721, 0.0854157, 0.353326, 0.185, 0.250779, 0.365381, 0.167565, 0.82244, 0.257606, 0.301127, 0.110213, 0.341632, 0.171427, 0.159577, 0.0822764, 0.0945058, 0.0648727, 0.0642354, 0.0528545, 0.149173, 0.303149, 0.237041, 0.103168, 0.286525, 0.913521, 0.245135, 0.933277, 0.10807, 0.119708, 0.241089, 0.0914282, 0.245671, 0.319139, 0.465186, 0.364073, 0.0566641, 0.484127, 0.401772, 0.194514, 0.117728, 0.391902, 0.0958153, 0.0345843, 0.18331, 0.138757, 0.0275877, 0.181903, 0.0614742, 0.0593996, 0.0758927, 0.133378, 0.207706, 0.186483, 0.162078, 0.164819, 0.086199, 0.353349, 0.0791967, 0.902691, 0.147362, 0.176427, 0.379571, 0.0505143, 0.317227, 0.741949, 0.190187, 0.279273, 0.362938, 0.0933735, 0.305578, 0.0707748, 0.236517, 0.9456, 0.338309, 0.141572, 0.276844, 0.134818, 0.180485, 0.126214, 0.0367734, 0.341818, 0.364115, 0.0896388, 0.129895, 0.183181, 0.417432, 0.287671, 0.33128, 0.0421105, 0.0528161, 0.270035, 0.0973422, 0.0760634, 0.253059, 0.105501, 0.726598, 0.250818, 0.0842056, 0.381047, 0.0961692, 0.0923314, 0.194568, 0.317744, 0.364028, 0.0702797, 0.328471, 0.828681, 0.00928335, 0.315635, 0.134271, 0.0686413, 0.356791, 0.23341, 0.114166, 0.178953, 0.317216, 0.244881, 0.328534, 0.452809, 0.280497, 0.217578, 0.175448, 0.126649, 0.116702, 0.00776545, 0.0792116, 0.677127, 0.115823, 0.131266, 0.531492, 0.080917, 0.108391, 0.205178, 0.0863448, 0.431023, 0.0858549, 0.247959, 0.355676, 0.642215, 0.0950861, 0.29436, 0.117593, 0.383578, 0.2128, 0.465249, 0.419357, 0.191612, 0.303926, 0.18768, 0.0841387, 0.085345, 0.400083, 0.12086, 0.36066, 0.0623975, 0.172707, 0.152884, 0.342574, 0.0158702, 0.196659, 0.044232, 0.313268, 0.048602, 0.124159, 0.420111, 0.154512, 0.0245698, 0.163316, 0.276198, 0.0425814, 0.186124, 0.051952, 0.493152, 0.211333, 0.0514958, 0.190175, 0.175807, 0.138292, 0.114171, 0.368321, 0.876079, 0.0685368, 0.168983, 0.35692, 0.123587, 0.130798, 0.0190373, 0.103744, 0.176788, 0.218145, 0.143234, 0.0354592, 0.207288, 0.217266, 0.0507169, 0.087254, 0.0393925, 0.720513, 0.0590384, 0.0847712, 0.414796, 0.0965516, 0.124387, 0.121515, 0.438273, 0.069988, 0.304634, 0.047644, 0.271453, 0.907699, 0.313202, 0.206504, 0.578922, 0.189855, 0.422598, 0.187086, 0.292623, 0.104814, 0.0263577, 0.0386949, 0.253, 0.343728, 0.217462, 0.363835, 0.181078, 0.190978, 0.0780735, 0.357196, 0.0793988, 0.229555, 0.113756, 0.230982, 0.505876, 0.291504, 0.12405, 0.274348, 0.329831, 0.136073, 0.220795, 0.0557619, 0.301587, 0.218522, 0.160955, 0.365248, 0.324144, 0.326422, 0.100463, 0.117699, 0.0939094, 0.0778464, 0.0278538, 0.155041, 0.159825, 0.566266, 0.279472, 0.164505, 0.259395, 0.0396884, 0.158432, 0.0387392, 0.122014, 0.064568, 0.866454, 0.165615, 0.160624, 0.161593, 0.201249, 0.144516, 0.165861, 0.117897, 0.0468027, 0.270247, 0.174406, 0.282942, 0.270864, 0.391296, 0.00312317, 0.163425, 0.305984, 0.15381, 0.0532925, 0.123943, 0.0419171, 0.107557, 0.26798, 0.125518, 0.115987, 0.343846, 0.363344, 0.136876, 0.122486, 0.286726, 0.153127, 0.126763, 0.116773, 0.242858, 0.218099, 0.674607, 0.340414, 0.147677, 0.360914, 0.0830142, 0.143432, 0.293278, 0.306292, 0.363282, 0.28211, 0.518587, 0.197862, 0.20279, 0.125289, 0.247252, 0.362773, 0.252678, 0.0392248, 0.27947, 0.13463, 0.0449688, 0.0740299, 0.0783155, 0.0373878, 0.0875703, 0.135522, 0.320793, 0.305448, 0.156001, 0.153296, 0.161574, 0.0977539, 0.316652, 0.12384, 0.228295, 0.361871, 0.317018, 0.212001, 0.912209, 0.406258, 0.164351, 0.322732, 0.388477, 0.272108, 0.0254051, 0.275968, 0.0489904, 0.12492, 0.0738642, 0.612486, 0.123784, 0.581491, 0.0576909, 0.131919, 0.174547, 0.199913, 0.315805, 0.103694, 0.0314371, 0.0380748]
	Time	[0]
	TimeBench	[0]
	TimeInit	[0]
	TimeMaps	[0]
