Stats:
	Average	[0.0718138]
	Folder	[mesh058]
	Guessed	[0.959961]
	NumGen	[100, 100]
	ObjFn	[0]
	PerSampleErrors	[0.126263, 0, 0.107339, 0, 0.0338439, 0.0330949, 0.0118592, 0.0200142, 0.254844, 0.0626102, 0.0658935, 0.149029, 0.0528599, 0.0484734, 0.0307991, 0.0230409, 0.0819601, 0.140345, 0.0253827, 0.104844, 0.0325268, 0.037329, 0.0664622, 0.0603943, 0.0709067, 0.151976, 0.0985983, 0.0618855, 0.146403, 0.0393902, 0.0578439, 0.106323, 0.0777587, 0.0225618, 0.195785, 0.125691, 0.108098, 0.0974754, 0.00866748, 0.0452667, 0.0417413, 0.0391989, 0.030071, 0.0216709, 0.205197, 0.0456543, 0.0218985, 0.216157, 0.115197, 0.0293651, 0.0141946, 0.0131263, 0.0332699, 0.0664185, 0.0230304, 0.0475944, 0.0142222, 0.0670629, 0.0623856, 0.187097, 0.26431, 0.0466904, 0.061347, 0.100757, 0.0571891, 0.0660456, 0.109285, 0.0878894, 0.0672887, 0.0832137, 0.051415, 0.0739679, 0.0206418, 0.0390956, 0.039691, 0.0399833, 0.0230646, 0.0565985, 0.0416756, 0.060345, 0.0913168, 0.103109, 0.0199003, 0.0279696, 0.0274969, 0.0264082, 0.0177597, 0.168231, 0.127688, 0.0513694, 0.178689, 0.0650378, 0.0230551, 0.0705296, 0.0702091, 0.114112, 0.168, 0.0230123, 0.140628, 0.0856577, 0.0904533, 0.0118014, 0.0399699, 0.0709462, 0.0680046, 0.0730334, 0.00672407, 0.0315111, 0.200419, 0.0864377, 0.100838, 0.0382501, 0.0625244, 0.0627439, 0.072241, 0.0487733, 0.0682457, 0.0842817, 0.257894, 0.0292539, 0.0809198, 0.0640149, 0.158065, 0.0592163, 0.137942, 0.0499155, 0.186861, 0.0283359, 0.103578, 0.0408392, 0.114351, 0.180912, 0.0311275, 0.0413223, 0.0841558, 0.0359071, 0.0806642, 0.0378456, 0.041836, 0, 0.0254507, 0.0368422, 0.102883, 0, 0.0491553, 0.0106176, 0.0834501, 0.160033, 0.0617277, 0.0293693, 0.0304376, 0.0523184, 0.0396451, 0.0137877, 0.190281, 0.016679, 0.0372903, 0.047365, 0.122594, 0.111553, 0.0633841, 0.0690851, 0.0193426, 0.0610973, 0.0376122, 0.0405474, 0.0210492, 0.0319261, 0.106408, 0.238976, 0.0886812, 0.0553151, 0.109249, 0.067526, 0.0550086, 0.0728607, 0.0223169, 0.0606187, 0.217998, 0.076739, 0.136903, 0.0499959, 0.092991, 0.128186, 0.100243, 0.120461, 0.0168674, 0.0156346, 0.0157532, 0.0179648, 0.0362211, 0.0751264, 0.0158374, 0.0499149, 0.0244228, 0.079849, 0.0702467, 0.113336, 0.125853, 0.119567, 0.0726204, 0.174423, 0.127691, 0.0579969, 0.0836956, 0.0620589, 0.0748956, 0.0386992, 0.0381064, 0.0636727, 0.0369263, 0.0597033, 0.0591015, 0.0655176, 0.087478, 0.0376822, 0.0869689, 0.0652196, 0.0246413, 0.0195699, 0.0208418, 0.0475303, 0.262406, 0.111423, 0.113041, 0.045636, 0.123356, 0.110467, 0.0589639, 0.0362813, 0.0337015, 0.0354507, 0.0200664, 0.0772143, 0.022099, 0.0337013, 0.00699923, 0.0317631, 0.201056, 0.0829909, 0.134464, 0.132336, 0.0145933, 0.0464223, 0.0266354, 0.0161485, 0.241365, 0.0343508, 0.061062, 0.0425326, 0.0318383, 0.0223982, 0.0935988, 0.0413444, 0.0399856, 0.158178, 0.186116, 0.0515656, 0.0544379, 0.0459993, 0.098724, 0.0481452, 0.0364461, 0.0376448, 0.0281417, 0.142418, 0.0370775, 0.0445075, 0.0452288, 0.119541, 0.0948804, 0.0654051, 0.0183256, 0.0422993, 0.0382329, 0.198877, 0.243577, 0.0566405, 0.0671225, 0.0424829, 0.029672, 0.14906, 0.0972984, 0.0652243, 0.196178, 0.0492779, 0.0223507, 0.0263026, 0.125, 0.0259251, 0.0312522, 0.0644104, 0.193922, 0.0143661, 0.0455393, 0.0214863, 0.0578956, 0.0535529, 0.17565, 0.0298904, 0.0669589, 0.0449139, 0.201559, 0.0174214, 0.0435022, 0.0315719, 0.0421949, 0.030331, 0.12958, 0.0614593, 0.0800098, 0.047926, 0.0508975, 0.0765501, 0.0533553, 0.0841443, 0.0655099, 0.0502711, 0.0322964, 0.0587056, 0.0477151, 0.0397897, 0.110196, 0.012734, 0.101295, 0.0695357, 0.0146312, 0.105286, 0.183013, 0.0203434, 0.138787, 0.0621008, 0.226501, 0.0411487, 0.117459, 0.17393, 0.0948649, 0.0413216, 0.0265409, 0.111983, 0.0322988, 0.0924202, 0.0628219, 0.0500368, 0.153024, 0.0173711, 0.110743, 0.0442742, 0.189719, 0.0603516, 0.0702336, 0.108761, 0.0311886, 0.0814206, 0.100609, 0.0478406, 0.0298589, 0.0138653, 0.0315041, 0.0279468, 0.0509016, 0.0639338, 0.0504308, 0.0888717, 0.0470718, 0.0413689, 0.052861, 0.0353165, 0.0469325, 0.0850292, 0.0327776, 0.0934945, 0.0155112, 0.0739146, 0.097122, 0.0803529, 0.0537354, 0.03572, 0.0708619, 0.132904, 0.0075836, 0.117617, 0.075709, 0.243191, 0.0188468, 0.126366, 0.046084, 0.0348585, 0.0326377, 0.0751938, 0.00875688, 0.0227294, 0.0755611, 0.0506572, 0.0814714, 0.0661682, 0.129324, 0.0836059, 0.0895185, 0.0957091, 0.0220088, 0.0776189, 0.0443672, 0.0336229, 0.0366372, 0.0624059, 0.149938, 0.0321536, 0.0691228, 0.081173, 0.177367, 0.101173, 0.0468492, 0.188838, 0.223024, 0.0347057, 0.0258146, 0.165042, 0.0330671, 0.0714085, 0.0621412, 0.200957, 0.125479, 0.0611341, 0.040133, 0.0232908, 0.0202985, 0.0328293, 0.0371731, 0.0208198, 0.0280632, 0.0647611, 0.10277, 0.0675366, 0.0694554, 0.0600626, 0.056463, 0.077548, 0.0784175, 0.0444316, 0.0274449, 0.119778, 0.0392456, 0.0541871, 0.0748444, 0, 0.0758803, 0.129107, 0.0691862, 0.0935834, 0.036734, 0.0260589, 0.0328923, 0.0549418, 0.0149898, 0.0116536, 0.246861, 0.0943266, 0.0155465, 0.0562859, 0.0641781, 0.186064, 0.0192365, 0.0856493, 0.0923669, 0.0821193, 0.0219223, 0.13577, 0.0607944, 0.149556, 0.0284612, 0.0380944, 0.114776, 0.0398432, 0.0977666, 0.038604, 0.0231375, 0.0317456, 0.0745593, 0.130229, 0.0804671, 0.0978415, 0.0246622, 0.0694867, 0.0820949, 0.055051, 0.123207, 0.0871621, 0.136773, 0.228549, 0.0314473, 0.0412071, 0.0885389, 0.133893, 0.0328833, 0.05309, 0.0794214, 0.0241311, 0.0595926, 0.0440977, 0.248583, 0.0116586, 0.0217072, 0.034615, 0.10293, 0.0464585, 0.10917, 0.0187537, 0.0236005, 0.0584532, 0.0271419, 0.130114, 0.0530152, 0.0974158, 0.157436, 0.0257107, 0.036492, 0.0490907, 0.0956287, 0.0727297, 0.0382547, 0.0304981, 0.110751, 0.0321084, 0.131688, 0.00740388, 0.0298112, 0.0477721, 0.0320363, 0.0743421, 0.161615, 0.0694019, 0.0264296, 0.0500017, 0.0553652, 0.0373089, 0.0190359, 0.220955, 0.105016, 0.0320627, 0.173255, 0.0972886, 0.01753, 0.0995965, 0.0310134, 0.0564189, 0.0519089, 0.0792333, 0.0300742, 0.0633488, 0.0560415, 0.0328086, 0.118958, 0.25871, 0.193754, 0.035549, 0.050701, 0.214091, 0.149793, 0.0285976, 0.032755, 0.0555366, 0.207072, 0.196504, 0.167824, 0.0613084, 0.0216357, 0.0743222, 0.0521682, 0.0402266, 0.186354, 0.0557235, 0.0451271, 0.0204626, 0.0399852, 0.070144, 0.0983034, 0.109891, 0.0341258, 0.0457164, 0.0544953, 0.088425, 0.0483535, 0.0607327, 0.13613, 0.071331, 0.0779543, 0.0363131, 0.0810067, 0.0285163, 0.0335313, 0.0601805, 0.0849131, 0.0155346, 0.0395147, 0.0295918, 0.130001, 0.148482, 0.0431615, 0.0949776, 0.0600964, 0.0837599, 0.0823991, 0.0528352, 0.104304, 0.0460271, 0.0336444, 0.0635413, 0.0681971, 0.077795, 0.0890485, 0.0240235, 0.11055, 0.214094, 0.0596916, 0.0483746, 0.0830238, 0.133329, 0.0558947, 0.0611201, 0.102471, 0.0888195, 0.0411847, 0.189981, 0.0448426, 0.0663439, 0.0299626, 0.0179311, 0.0788109, 0.0782749, 0.0345862, 0.0672873, 0.0213679, 0.0277894, 0.0501899, 0.160285, 0.194645, 0.032423, 0.0673665, 0.10045, 0.0642066, 0.0837227, 0.0349718, 0.0482995, 0.0159517, 0.230277, 0.108167, 0.267185, 0.0442657, 0.111556, 0.0401433, 0.0232702, 0.109798, 0.0894348, 0.156256, 0.0110455, 0.043444, 0.0335791, 0.109291, 0.0136062, 0.0692155, 0.0711059, 0.0566148, 0.0185623, 0.0719564, 0.105449, 0.228912, 0.0552784, 0.03214, 0.0331339, 0.00718691, 0.0221154, 0.0227475, 0.0119217, 0.0842732, 0.0316448, 0.0310586, 0.0276635, 0.0412651, 0.0855142, 0.0662694, 0.0361123, 0.0186293, 0.15746, 0.027433, 0.0596796, 0.253981, 0.066699, 0.0275012, 0.0343108, 0.047415, 0.00980687, 0.0582521, 0.0215575, 0.055391, 0.0816289, 0.0956033, 0.0544989, 0.0515155, 0.0744739, 0.0661133, 0.144955, 0.0303907, 0.0744826, 0.0558244, 0.114783, 0.0950557, 0.074996, 0.0379685, 0.0280321, 0.116529, 0.0236217, 0.0235146, 0.0410243, 0.0564227, 0.101283, 0.141745, 0.0680199, 0.0284932, 0.0696672, 0.0274363, 0.0600257, 0.0284768, 0.211011, 0.223776, 0.0575945, 0.0463565, 0.0741314, 0.0344728, 0.0226577, 0.103458, 0.133522, 0.0147789, 0.0465736, 0.096776, 0.0738255, 0.0161245, 0.079931, 0.112938, 0.187076, 0.0840383, 0.0233433, 0.0720959, 0.0210093, 0.02959, 0.163229, 0.242421, 0.0366552, 0.0250729, 0.0536246, 0.0405052, 0.0856172, 0.0640436, 0.0414298, 0.0399302, 0.172727, 0.104992, 0.0505474, 0.0448009, 0.0477015, 0.0230456, 0.0353491, 0.0194703, 0.192498, 0.091581, 0.0423672, 0.0819966, 0.126413, 0.0674474, 0.0397412, 0.03137, 0.0782229, 0.0511762, 0.0860512, 0.04345, 0.122378, 0.0745317, 0.251265, 0.228804, 0.0965299, 0.11097, 0.00974864, 0.059952, 0.140012, 0.0557093, 0.0723098, 0.0590643, 0.065875, 0.0270904, 0.102508, 0.0379774, 0.15555, 0.0331229, 0.0206691, 0.0531382, 0.0156473, 0.0881972, 0.0653457, 0.102747, 0.0655645, 0.0598879, 0.0526116, 0.104474, 0.19358, 0.069501, 0.0230005, 0.117327, 0, 0.0300044, 0.0514946, 0.0686418, 0.0115997, 0.110352, 0.0216679, 0.0526278, 0.181796, 0.113408, 0.0400665, 0.0265434, 0.0367575, 0.0289267, 0.0873371, 0.0484166, 0.0303402, 0.0376947, 0.0247419, 0.0412812, 0.0368579, 0.059831, 0.0383049, 0.0306003, 0.0381251, 0.188537, 0.0412699, 0.1164, 0.177487, 0.0343049, 0.0486449, 0.0581764, 0.0125247, 0.0591724, 0.073942, 0.0290385, 0.0188679, 0.0342026, 0.105061, 0.0511534, 0.0548096, 0.198102, 0.113156, 0.0869808, 0.0366253, 0.0443075, 0.230428, 0.114336, 0.0405573, 0.015646, 0.0230911, 0.0727132, 0.0687191, 0.0405804, 0.0497044, 0.116664, 0.0622228, 0.136169, 0.010148, 0.0274649, 0.107048, 0.19527, 0.0284353, 0.015754, 0.0288446, 0.207353, 0.0199688, 0.0356078, 0.0237506, 0.058323, 0.11116, 0.0597586, 0.0396328, 0.0671212, 0.0741055, 0.0941937, 0.0450065, 0, 0.0384256, 0.0440672, 0.045426, 0.0666498, 0.0567344, 0.0355935, 0.0315628, 0.0977507, 0.0117734, 0.0493063, 0.121316, 0.255252, 0.0437631, 0.0320726, 0.0550657, 0.0621314, 0.0690153, 0.0335597, 0.0431501, 0.0903482, 0.0295813, 0.101444, 0.0173785, 0.0561219, 0.212476, 0.0450265, 0.052615, 0.00726517, 0.164389, 0.0751491, 0.160607, 0.0326549, 0.0708933, 0.0323709, 0.0404452, 0.120527, 0.0611294, 0.116374, 0.101445, 0.133498, 0.0425085, 0.067674, 0.0861802, 0.0152256, 0.0521533, 0.0736773, 0.0939902, 0.219656, 0.101367, 0.0259164, 0.242918, 0.0531412, 0.010435, 0.0479682, 0.0233116, 0.0824631, 0.0629477, 0.0370439, 0.142621, 0.0569884, 0, 0.0944425, 0.173488, 0.0233158, 0.0772972, 0.0524464, 0.0132574, 0.0373828, 0.0297647, 0.0556667, 0.035713, 0.0486979, 0.0177491, 0.0460484, 0.055595, 0.0427147, 0.0506867, 0.0596367, 0.0398352, 0.0263268, 0.0469495, 0.0255627, 0.0546654, 0.149414, 0.079802, 0.0168592, 0.0107983, 0.0599699, 0.0489864, 0.0212883, 0.174408, 0.24693, 0.0515422, 0.0383996, 0.046987, 0.0986723, 0.0455949, 0.0224211, 0.155631, 0.0257492, 0.10931, 0.046387, 0.0846603, 0.0135857, 0.171861, 0.07019, 0.0668694, 0.0802529, 0.0253315, 0.162352, 0.178141, 0.052449, 0.0345339, 0.0335999, 0.0608904, 0.0444172, 0.0540718, 0.0388801, 0.0214841, 0.0301814, 0.0293347, 0.0321298, 0.0529965, 0.0411198, 0.0571399, 0.0428296, 0.0468517, 0.0490151, 0.0418171, 0.0104538, 0.135495, 0.013474, 0.106795, 0.186551, 0.0672823, 0.0718493, 0.124246, 0.0458489, 0.0779642]
	Time	[17]
	TimeBench	[0]
	TimeInit	[7]
	TimeMaps	[10]
