Stats:
	Average	[0.0293311]
	Folder	[michael9]
	Guessed	[1]
	NumGen	[5, 5]
	ObjFn	[0.858547]
	PerSampleErrors	[0.0330045, 4.35175e-06, 0.076528, 3.21634e-07, 0.0535896, 0.0021818, 0.0042022, 0.0402201, 0.0356179, 0.0180682, 0.0176918, 0.0437843, 0.0143466, 0.0303618, 0.0256175, 0.0130313, 0.0512913, 0.0167916, 0.0351359, 0.0369261, 0.0268598, 0.0116311, 0.0140616, 0.061971, 0.114301, 0.0288115, 0.0161615, 0.00537105, 0.0264363, 0.0112647, 0.0116288, 0.083106, 0.0310702, 0.027053, 0.0380066, 0.0448175, 0.0350126, 0.135557, 0.0371486, 0.024522, 0.0168881, 0.0723488, 0.089465, 0.0214735, 0.0105401, 0.00603988, 0.00396032, 0.128893, 0.047287, 0.0145654, 0.0102942, 0.0157853, 0.0113762, 0.0284184, 0.101208, 0.00612557, 0.0641274, 0.0439198, 0.0310635, 0.0531466, 0.00832028, 0.0368698, 0.0672251, 0.013265, 0.0612849, 0.0155364, 0.0182446, 0.0363464, 0.0338138, 0.0331958, 0.0229427, 0.0360918, 0.066255, 0.0169595, 0.00787978, 0.0310982, 0.0189236, 0.00421608, 0.031986, 0.0114496, 0.014643, 0.067414, 0.0176817, 0.0915299, 0.0256587, 0.0352887, 0.019376, 0.0250348, 0.00721045, 0.0416117, 0.0424543, 0.0378652, 0.0252092, 0.0563887, 0.0488024, 0.0135098, 0.0116775, 0.0635074, 0.017276, 0.0144045, 0.00339486, 0.0472578, 0.00646484, 0.0123624, 0.0663809, 0.00185587, 0.0313304, 0.0206116, 0.0147844, 0.0339679, 0.0993433, 0.0290728, 0.0161817, 0.014983, 0.00883483, 0.0137789, 0.00285177, 0.0216062, 0.0305628, 0.0315095, 0.0252109, 0.01363, 0.0484785, 0.0739188, 0.0375832, 0.0253122, 0.0183626, 0.031935, 0.00347673, 0.0230803, 0.02277, 0.00327521, 0.0930331, 0.0246821, 0.0364044, 0.0354744, 0.0282879, 0.0229565, 0.0169878, 0.0226415, 0.0240291, 0.0663125, 0.0591818, 0.0207198, 0.0354039, 0.0292561, 0.0424545, 0.0186331, 0.0330821, 0.0892648, 0.0196176, 0.019717, 0.0150908, 0.0511941, 0.0266397, 0.0832337, 0.0081358, 0.00480579, 0.00911333, 0.0191894, 0.0818516, 0.00627944, 0.0175427, 0.00978649, 0.0160175, 0.0540689, 0.0759191, 0.00661294, 0.0283444, 0.0134791, 0.0726154, 0.0123788, 0.00875264, 0.0339851, 0.0185307, 0.0133072, 0.0660061, 0.0206195, 0.0790794, 0.0415185, 0.0527246, 0.0162555, 0.00996362, 0.010333, 0.0113955, 0.0327277, 0.00321005, 0.0395788, 0.0388754, 0.0191522, 0.00445767, 0.0481352, 0.0538107, 0.0169552, 0.020739, 0.0118004, 0.0560869, 0.00142707, 0.0162455, 0.0218045, 0.0130489, 0.0311145, 0.0272849, 0.0313459, 0.0619617, 0.0170318, 0.0474747, 0.0113452, 0.0101669, 0.0445402, 0.0242317, 0.0267175, 0.0134348, 0.00425249, 0.00900604, 0.0186758, 0.0143153, 0.0354244, 0.0309843, 0.0136518, 0.0252214, 0.0270079, 0.0236047, 0.0322947, 0.00535441, 0.0323925, 0.00230774, 0.00282152, 0.0410965, 0.0111088, 0.00455081, 0.0786925, 0.0242008, 0.0195896, 0.021258, 0.0300322, 0.00444328, 0.0181751, 0.0184115, 0.00207021, 0.0302345, 0.0171849, 0.0139554, 0.01189, 0.0457554, 0.0275389, 0.0623347, 0.0410663, 0.0304918, 0.00935661, 0.043759, 0.0297615, 0.0109785, 0.0399577, 0.054503, 0.0423278, 0.0118551, 0.0139819, 0.0117362, 0.0583933, 0.0154093, 0.00625828, 0.0185069, 0.0245249, 0.0203753, 0.00885709, 0.0291425, 0.0124124, 0.0491237, 0.0154462, 0.070886, 0.0297906, 0.0309082, 0.0660907, 0.0260992, 0.0115843, 0.0640059, 0.0263098, 0.0482636, 0.0147166, 0.00851151, 0.0315862, 0.0401547, 0.0249077, 0.0182937, 0.00232089, 0.0275199, 0.00787733, 0.0619952, 0.016262, 0.0372448, 0.00494593, 0.0142537, 0.0138327, 0.0284006, 0.0280437, 0.0758731, 0.0551507, 0.00292067, 0.0390543, 0.0317455, 0.0129694, 0.0113086, 0.0366204, 0.0909178, 0.0448753, 0.0522245, 0.017834, 0.0269786, 0.0355852, 0.0990753, 0.00524561, 0.0542572, 0.011181, 0.0121962, 0.0424232, 0.00770695, 0.0230935, 0.0406401, 0.0141005, 0.0180364, 0.0511589, 0.0374361, 0.0286259, 0.00793342, 0.0325581, 0.0604436, 0.0230259, 0.0512136, 0.0450425, 0.027961, 0.0175897, 0.0164317, 0.0114678, 0.0281992, 0.0468283, 0.0357317, 0.00999619, 0.00969775, 0.00663137, 0.0474104, 0.0135557, 0.0171833, 0.0186539, 0.020072, 0.0505703, 0.0331956, 0.00720699, 0.00966957, 0.00177752, 0.0229361, 0.00773057, 0.0325421, 0.0466335, 0.0416057, 0.0237911, 0.0107558, 0.00990283, 0.0637166, 0.0141504, 0.0273178, 0.0575522, 0.0256668, 0.0197323, 0.0576086, 0.0208397, 0.027925, 0.00457733, 0.0172997, 0.0258548, 0.0297074, 0.0493911, 0.0190961, 0.0781101, 0.0148506, 0.0583788, 0.0633053, 0.016961, 0.0158052, 0.0986208, 0.0333657, 0.0152839, 0.00927871, 0.0159124, 0.0282905, 0.0121272, 0.00839359, 0.0180393, 0.0420297, 0.119896, 0.00183283, 0.00694251, 0.0734877, 0.00739752, 0.0363922, 0.026521, 0.0580726, 0.0152631, 0.0348148, 0.0529541, 0.00785529, 0.0272456, 0.01059, 0.00151048, 0.0308501, 0.0111476, 0.0129245, 0.036799, 0.0257328, 0.0147384, 0.0018155, 0.0185301, 0.0222879, 0.048317, 0.0239954, 0.0158282, 0.0816457, 0.0227195, 0.0221373, 0.0309569, 0.025762, 0.0906363, 0.0723854, 0.0456081, 0.0656505, 0.0403761, 0.0335356, 0.0123049, 0.036654, 0.0117473, 0.0237194, 0.00530184, 0.081966, 0.023589, 0.0243609, 0.018558, 0.0276898, 0.0318793, 0.0219878, 0.0176075, 0.0427304, 0.0320542, 0.0395593, 0.0231657, 0.014566, 0.00622465, 0.0736355, 0.0257084, 0.00209398, 0.0157277, 0.0116178, 0.0341079, 0.0248282, 0.0303485, 0.0883733, 0.0161358, 0.01069, 0.0148431, 0.0810059, 0.0546431, 0.0311864, 0.0343364, 0.0515758, 0.0335707, 0.0111469, 0.0837283, 0.00578321, 0.00282618, 0.0114653, 0.0137271, 0.0229217, 0.0341126, 0.0318518, 0.0129574, 0.0262633, 0.026388, 0.0194436, 0.0211309, 0.0421731, 0.0170719, 0.00471263, 0.0285678, 0.0390273, 0.00530408, 0.0718393, 0.0459719, 0.0358168, 0.0461247, 0.0196027, 0.0426708, 0.0151383, 0.00932767, 0.0193744, 0.0187974, 0.00414016, 0.0105393, 0.0127496, 0.0097511, 0.0128833, 0.00399516, 0.0194117, 0.0261079, 0.0433159, 0.0209708, 0.0121655, 0.032229, 0.0178665, 0.00113344, 0.0130419, 0.00824762, 0.0411515, 0.0474661, 0.0150941, 0.0737285, 0.0389635, 0.026629, 0.0222298, 0.00172766, 0.0322133, 0.0156201, 0.0964405, 0.030788, 0.00564365, 0.0407036, 0.0341957, 0.0126125, 0.0303375, 0.006131, 0.0131362, 0.0103283, 0.0267312, 0.0117482, 0.015329, 0.0186926, 0.022248, 0.0466291, 0.0390063, 0.0181957, 0.00210629, 0.0181406, 0.0420408, 0.0743114, 0.0344473, 0.0125053, 0.00642253, 0.0389274, 0.0449665, 0.0425329, 0.0131889, 0.093756, 0.0364339, 0.0174091, 0.0215252, 0.0582637, 0.00857855, 0.0163645, 0.0271662, 0.028895, 0.0513482, 0.0159882, 0.0263536, 0.0289377, 0.017544, 0.0437689, 0.0347163, 0.0573903, 0.0157387, 0.0403265, 0.0400607, 0.0199646, 0.072162, 0.0290525, 0.0150324, 0.0208805, 0.0643889, 0.0662455, 0.0238618, 0.0295755, 0.0362854, 0.01467, 0.00122357, 0.051243, 0.0086345, 0.00696103, 0.0365486, 0.0134105, 0.0814065, 0.025494, 0.0264495, 0.00945754, 0.0172826, 0.0365452, 0.0157845, 0.0206811, 0.0134135, 0.0091971, 0.050186, 0.0226231, 0.00756771, 0.0185648, 0.0132368, 0.0309952, 0.0450478, 0.0145562, 0.01548, 0.0735505, 0.0591788, 0.0199946, 0.00278278, 0.00766705, 0.0709236, 0.0339252, 0.0108617, 0.0156659, 0.0317474, 0.0394996, 0.0311736, 0.068198, 0.0235301, 0.0368362, 0.0476739, 0.0142403, 0.0126854, 0.0172685, 0.0592277, 0.00289731, 0.00965625, 0.0228059, 0.0147595, 0.0121019, 0.0217072, 0.0219488, 0.0256295, 0.0463802, 0.0224448, 0.00492714, 0.0656843, 0.0765789, 0.0125296, 0.0265159, 0.0425875, 0.0498095, 0.0190928, 0.0402691, 0.0593069, 0.0256119, 0.058148, 0.0294952, 0.00735408, 0.00489717, 0.00810008, 0.0800694, 0.0759517, 0.0353121, 0.0501586, 0.0502743, 0.0407714, 0.00751361, 0.0297218, 0.0294993, 0.00994553, 0.0028675, 0.00610595, 0.0154607, 0.00566199, 0.0106139, 0.0175909, 0.019795, 0.0116674, 0.0248436, 0.0112146, 0.0744151, 0.0102398, 0.0524531, 0.037931, 0.0307075, 0.0306832, 0.00531317, 0.0135104, 0.0125368, 0.0158756, 0.0405522, 0.00217384, 0.0568322, 0.00177808, 0.0179682, 0.0352157, 0.0283906, 0.0858828, 0.0207578, 0.0859857, 0.00435467, 0.0271441, 0.0688924, 0.0191719, 0.0212251, 0.0253663, 0.0339711, 0.011699, 0.0193479, 0.0143579, 0.0328116, 0.0386684, 0.0216852, 0.00965409, 0.0904342, 0.0445614, 0.0298057, 0.0206658, 0.0221961, 0.0255648, 0.0179698, 0.0256635, 0.0348854, 0.008561, 0.0190645, 0.00831904, 0.00538695, 0.0710591, 0.0176652, 0.0361505, 0.0417305, 0.0123976, 0.0290938, 0.0180361, 0.0236984, 0.0849643, 0.00739082, 0.014812, 0.0152024, 0.0278165, 0.00642898, 0.061196, 0.00294274, 0.0301055, 0.0218848, 0.0494414, 0.0203887, 0.0670329, 0.0352048, 0.0243971, 0.0172599, 0.00340725, 0.014287, 0.0105135, 0.0121867, 0.0442328, 0.0276543, 0.0120658, 0.0386057, 0.0481644, 0.0137074, 0.0170508, 0.0997133, 0.0176905, 0.028652, 0.0327941, 0.0172362, 0.0170645, 0.0631442, 0.0325837, 0.0168421, 0.0137516, 0.0720517, 0.00887134, 0.0227453, 0.00721027, 0.0158787, 0.0195187, 0.0407783, 0.0650155, 0.0113687, 0.0215124, 0.0315294, 0.0396833, 0.077524, 0.0300286, 0.0137365, 0.0212069, 0.0104472, 0.0519243, 0.0688962, 0.0555039, 0.0323436, 0.0414131, 0.0192349, 0.0780911, 0.0231116, 0.00861371, 0.0307459, 0.00737724, 0.0142318, 0.035684, 0.0126884, 0.00914305, 0.0278583, 0.00236069, 0.0303241, 0.0228743, 0.00251642, 0.00728854, 0.0264786, 0.0162833, 0.0201889, 0.00346468, 0.0500159, 0.0624085, 0.0792443, 0.003855, 0.011312, 0.0292074, 0.0502435, 0.0764669, 0.00831585, 0.00908068, 0.0309467, 0.0149765, 0.00470373, 0.0441604, 0.00693345, 0.106254, 0.0285662, 0.0156875, 0.00595371, 0.0104005, 0.0657992, 0.0166655, 0.0406979, 0.00241343, 0.038606, 0.0330496, 0.0112182, 0.0131646, 0.0298034, 0.0420778, 0.0339248, 0.0273779, 0.0059896, 0.0321959, 0.025636, 0.0171456, 0.0142904, 0.0189696, 0.0289612, 0.00451468, 0.017045, 0.0266064, 0.0166303, 0.005587, 0.0194006, 0.0323366, 0.0181576, 0.0215827, 0.0248704, 0.0227254, 0.0526035, 0.0201381, 0.00670389, 0.0507912, 0.0478996, 0.0518834, 0.0110278, 0.0349971, 0.0416216, 0.0249697, 0.0149055, 0.035333, 0.0283107, 0.0174882, 0.0273166, 0.0108978, 0.0133288, 0.0334949, 0.0143176, 0.00892019, 0.0158945, 0.0204119, 0.0244111, 0.0770355, 0.0712592, 0.034472, 0.0730006, 0.0132535, 0.00529865, 0.0336594, 0.0288588, 0.0158189, 0.0264272, 0.0158218, 0.0821446, 0.0214252, 0.0117492, 0.0196843, 0.0417869, 0.0322374, 0.00721657, 0.010609, 0.0198457, 0.0402211, 0.0320578, 0.0423265, 0.0256599, 0.0191599, 0.0161496, 0.0940315, 0.088566, 0.0446698, 0.0379223, 0.0318091, 0.000333657, 0.0758438, 0.041157, 0.0102879, 0.0110497, 0.00407637, 0.0315207, 0.00325779, 0.0224621, 0.0492511, 0.0195054, 0.0197355, 0.0184007, 0.0394394, 0.0214694, 0.0722089, 0.0235243, 0.0401874, 0.0126284, 0.034345, 0.0111269, 0.019603, 0.0711881, 0.0497952, 0.0596515, 0.0226813, 0.0109555, 0.0296095, 0.0291966, 0.016714, 0.0253273, 0.00493513, 0.0235984, 0.103205, 0.0185463, 0.0388802, 0.0677458, 0.0105699, 0.0245465, 0.0399497, 0.0457113, 0.0155563, 0.0800912, 0.0491194, 0.0576809, 0.0234525, 0.0144425, 0.036089, 0.0125041, 0.0117127, 0.0371167, 0.00181131, 0.0364814, 0.0577203, 0.0302033, 0.0629646, 0.0533752, 0.0415773, 0.0210282, 0.0270821, 0.0417767, 0.0387459, 0.0254808, 0.0248855, 0.0201913, 0.00190913, 0.00644572, 0.035853, 0.0286903, 0.0348171, 0.0198261, 0.0167221, 0.0187908, 0.0205227, 0.0141342, 0.028637, 0.0117984, 0.0103734, 0.00402436, 0.0212868, 0.00296094, 0.00938413, 0.0310003, 0.0237001, 0.0186214, 0.0145682, 0.0529663, 0.0170089, 0.0177363, 0.0254074, 0.0220488, 0.0290678, 0.02184, 0.0248009, 0.109947, 0.0369784, 0.00793252, 0.0154747, 0.023613, 0.0355784, 0.033211, 0.0149926, 0.0327987, 0.0296247, 0.0789555, 0.0397863, 0.0291694, 0.0140931, 0.0681681, 0.049738, 0.00434483, 0.0163866, 0.00225604, 0.0160774, 0.0141064]
	Time	[487]
	TimeBench	[0]
	TimeInit	[375]
	TimeMaps	[112]
