Stats:
	Average	[0.385989]
	Folder	[dog2]
	Guessed	[0.222656]
	NumGen	[9, 9]
	ObjFn	[0]
	PerSampleErrors	[0.897778, 0.0316519, 0.836043, 0.907397, 0.872937, 0.878492, 0.197604, 0.0364044, 0.156121, 0.84472, 0.272007, 0.107698, 0.380214, 0.387034, 0.362324, 0.473786, 0.91495, 0.234744, 0.195777, 0.415926, 0.245375, 0.448993, 0.280907, 0.233367, 0.0607595, 0.931073, 0.182446, 0.857316, 0.248463, 0.330962, 0.911551, 0.632307, 0.31039, 0.309995, 0.699436, 0.603163, 0.630625, 0.240954, 0.577796, 0.224909, 0.293111, 0.256112, 0.870983, 0.161708, 0.732523, 0.196057, 0.209421, 0.068205, 0.21467, 0.296785, 0.238924, 0.22031, 0.219877, 0.0756021, 0.222917, 0.270619, 0.884292, 0.618797, 0.170964, 0.592721, 0.0401618, 0.329136, 0.2946, 0.089205, 0.219713, 0.515694, 0.50637, 0.28639, 0.256726, 0.0777673, 0.177779, 0.337801, 0.270951, 0.202979, 0.0988323, 0.78842, 0.358663, 0.440122, 0.260146, 0.482725, 0.825973, 0.718063, 0.716706, 0.314956, 0.271079, 0.286583, 0.789547, 0.192, 0.134131, 0.327016, 0.675017, 0.706461, 0.0639747, 0.357869, 0.263808, 0.349598, 0.235014, 0.766719, 0.191683, 0.550318, 0.206327, 0.383554, 0.254681, 0.135217, 0.62061, 0.817544, 0.803776, 0.25134, 0.0295869, 0.562491, 0.153012, 0.159022, 0.421124, 0.200465, 0.271466, 0.108523, 0.889373, 0.358744, 0.78793, 0.223897, 0.25255, 0.165544, 0.735123, 0.808213, 0.265742, 0.279457, 0.188775, 0.238272, 0.217404, 0.846936, 0.252101, 0.202367, 0.906919, 0.769897, 0.853763, 0.0471613, 0.877699, 0.791442, 0.267927, 0.271885, 0.285656, 0.0719665, 0.595821, 0.462873, 0.189105, 0.251853, 0.229167, 0.72202, 0.258786, 0.254577, 0.233302, 0.4815, 0.273137, 0.197888, 0.230658, 0.304101, 0.294935, 0.336194, 0.755572, 0.0600409, 0.219918, 0.0612537, 0.327948, 0.201597, 0.240865, 0.557218, 0.872124, 0.19526, 0.46428, 0.26788, 0.223441, 0.626133, 0.0878928, 0.0411987, 0.237625, 0.275087, 0.105047, 0.401359, 0.286434, 0.184199, 0.190357, 0.208554, 0.832955, 0.354506, 0.308231, 0.113858, 0.266219, 0.118736, 0.312184, 0.268969, 0.187953, 0.583981, 0.502147, 0.0774601, 0.779321, 0.398281, 0.0627342, 0.151923, 0.787859, 0.365791, 0.845345, 0.276786, 0.761946, 0.449332, 0.378764, 0.399906, 0.8334, 0.267718, 0.063105, 0.12771, 0.814159, 0.294744, 0.254518, 0.304071, 0.0233802, 0.806281, 0.830492, 0.589037, 0.223903, 0.668407, 0.472073, 0.267613, 0.209299, 0.172084, 0.386893, 0.028966, 0.388591, 0.587616, 0.209387, 0.776926, 0.59243, 0.240987, 0.234891, 0.244751, 0.257199, 0.581539, 0.0925629, 0.724571, 0.865918, 0.22463, 0.0729569, 0.076842, 0.334685, 0.865774, 0.981552, 0.208933, 0.442621, 0.292078, 0.226026, 0.45057, 0.252763, 0.116739, 0.87169, 0.507508, 0.628608, 0.270321, 0.210083, 0.277929, 0.406961, 0.0733787, 0.245207, 0.367478, 0.151288, 0.263381, 0.779152, 0.218387, 0.381558, 0.248416, 0.483371, 0.0615626, 0.759481, 0.709225, 0.182318, 0.622738, 0.171396, 0.530224, 0.877557, 0.259158, 0.2587, 0.677516, 0.26594, 0.249039, 0.213631, 0.536491, 0.753849, 0.14769, 0.127215, 0.32845, 0.199261, 0.242271, 0.173982, 0.513026, 0.277802, 0.211123, 0.245566, 0.208088, 0.269239, 0.220118, 0.857905, 0.12745, 0.0704107, 0.335573, 0.18698, 0.672571, 0.199557, 0.108232, 0.325736, 0.845201, 0.211133, 0.772416, 0.0926184, 0.383114, 0.269486, 0.364467, 0.242734, 0.269347, 0.912408, 0.395854, 0.0678549, 0.738456, 0.238275, 0.243766, 0.207137, 0.346781, 0.461556, 0.256134, 0.212536, 0.27736, 0.38116, 0.764686, 0.71326, 0.567183, 0.272957, 0.109992, 0.148655, 0.0802637, 0.659683, 0.163634, 0.440621, 0.69888, 0.843861, 0.276241, 0.779954, 0.71029, 0.301412, 0.366774, 0.24775, 0.195148, 0.251865, 0.0754435, 0.658455, 0.044399, 0.0235686, 0.217244, 0.8661, 0.138997, 0.218955, 0.0798601, 0.679263, 0.212049, 0.870231, 0.239732, 0.236239, 0.045213, 0.869315, 0.254044, 0.266872, 0.333398, 0.0581486, 0.907951, 0.818692, 0.152098, 0.157836, 0.271409, 0.85786, 0.520086, 0.693764, 0.286626, 0.178976, 0.0878463, 0.52181, 0.0532137, 0.193244, 0.818768, 0.812584, 0.262522, 0.76865, 0.32186, 0.275514, 0.868206, 0.160585, 0.3335, 0.872033, 0.882425, 0.236875, 0.720543, 0.116383, 0.242323, 0.879984, 0.261466, 0.865118, 0.234758, 0.396737, 0.905082, 0.572803, 0.852071, 0.357025, 0.873658, 0.265823, 0.503798, 0.53163, 0.226931, 0.322641, 0.200561, 0.212207, 0.216463, 0.1502, 0.415142, 0.305833, 0.40594, 0.0334168, 0.0472337, 0.799248, 0.0916564, 0.0920986, 0.494564, 0.257826, 0.573579, 0.249563, 0.273702, 0.293745, 0.389853, 0.147229, 0.648887, 0.829535, 0.316068, 0.193313, 0.251897, 0.679195, 0.235386, 0.498202, 0.0563029, 0.303389, 0.311583, 0.1946, 0.227212, 0.778343, 0.052591, 0.276383, 0.216506, 0.863348, 0.799817, 0.197159, 0.253405, 0.784639, 0.295462, 0.864157, 0.247895, 0.807719, 0.815937, 0.312132, 0.415365, 0.021813, 0.91011, 0.232066, 0.697636, 0.194135, 0.520182, 0.206331, 0.162908, 0.270631, 0.237973, 0.244997, 0.793352, 0.118864, 0.813061, 0.208603, 0.834823, 0.0944842, 0.0566064, 0.645627, 0.278863, 0.222296, 0.38936, 0.231337, 0.2393, 0.212757, 0.78531, 0.880522, 0.680406, 0.199653, 0.877299, 0.827604, 0.747534, 0.449775, 0.246495, 0.889259, 0.0424628, 0.208242, 0.567046, 0.32513, 0.230988, 0.34634, 0.0407366, 0.217942, 0.73681, 0.21455, 0.641422, 0.251324, 0.771292, 0.192238, 0.332006, 0.233596, 0.640295, 0.660975, 0.314848, 0.232808, 0.752926, 0.0737635, 0.874036, 0.280946, 0.85247, 0.173446, 0.059365, 0.200903, 0.330111, 0.219318, 0.893001, 0.380564, 0.214478, 0.179199, 0.798426, 0.293968, 0.260995, 0.237195, 0.388334, 0.256834, 0.0734655, 0.271787, 0.130334, 0.36644, 0.285505, 0.552097, 0.220285, 0.715966, 0.515156, 0.291591, 0.637101, 0.105584, 0.293425, 0.142141, 0.419595, 0.253934, 0.239509, 0.744381, 0.363487, 0.136146, 0.177922, 0.0543857, 0.410588, 0.258518, 0.216103, 0.837727, 0.275491, 0.287273, 0.254449, 0.244502, 0.180975, 0.672408, 0.103194, 0.510528, 0.0990574, 0.585378, 0.390279, 0.238766, 0.215428, 0.714334, 0.878364, 0.236012, 0.653287, 0.476788, 0.572064, 0.768415, 0.849494, 0.621678, 0.120376, 0.130574, 0.0673579, 0.242225, 0.217844, 0.094349, 0.540806, 0.584501, 0.114168, 0.275407, 0.326494, 0.851382, 0.171703, 0.746413, 0.0703761, 0.511498, 0.0969878, 0.893977, 0.279668, 0.43809, 0.79691, 0.464056, 0.254925, 0.194773, 0.318461, 0.315762, 0.877503, 0.250568, 0.276884, 0.214503, 0.105937, 0.201227, 0.0979034, 0.307337, 0.211347, 0.625946, 0.0649756, 0.279242, 0.278137, 0.178679, 0.416078, 0.179713, 0.342678, 0.247847, 0.940163, 0.261291, 0.465439, 0.672005, 0.814998, 0.429742, 0.289539, 0.130615, 0.204214, 0.0949296, 0.20213, 0.200374, 0.774265, 0.851855, 0.835301, 0.252338, 0.246815, 0.400385, 0.35969, 0.838589, 0.811154, 0.216466, 0.466321, 0.895884, 0.266219, 0.0505622, 0.103426, 0.811202, 0.291124, 0.279917, 0.845514, 0.572451, 0.804232, 0.800575, 0.275338, 0.0391689, 0.115756, 0.0536426, 0.14219, 0.0692122, 0.0764019, 0.275981, 0.606028, 0.780735, 0.178666, 0.234539, 0.180686, 0.846231, 0.271991, 0.0593057, 0.239974, 0.270812, 0.238933, 0.755667, 0.509472, 0.258284, 0.381534, 0.17114, 0.276998, 0.856127, 0.823592, 0.283646, 0.229049, 0.369204, 0.245588, 0.269436, 0.191922, 0.257394, 0.266036, 0.214565, 0.826802, 0.182402, 0.173165, 0.897246, 0.52912, 0.875704, 0.213061, 0.494114, 0.318628, 0.396548, 0.209288, 0.604557, 0.249034, 0.870599, 0.237229, 0.231587, 0.364676, 0.200064, 0.354393, 0.515409, 0.249589, 0.220884, 0.198274, 0.180793, 0.454777, 0.579634, 0.193212, 0.0959023, 0.630822, 0.284164, 0.652815, 0.805999, 0.200425, 0.683507, 0.30853, 0.256437, 0.262891, 0.207441, 0.265095, 0.410989, 0.151123, 0.555168, 0.0186192, 0.260746, 0.376591, 0.29683, 0.340964, 0.421365, 0.217039, 0.568253, 0.309013, 0.256539, 0.270717, 0.232878, 0.598973, 0.168723, 0.715624, 0.231849, 0.180296, 0.287639, 0.0223475, 0.0402384, 0.0713468, 0.16281, 0.36147, 0.219505, 0.56385, 0.361519, 0.643895, 0.206322, 0.266349, 0.0849797, 0.86569, 0.483103, 0.663785, 0.387242, 0.417868, 0.135882, 0.0920318, 0.605537, 0.901085, 0.232888, 0.258992, 0.956979, 0.772475, 0.802322, 0.233283, 0.779421, 0.236204, 0.450879, 0.237641, 0.306474, 0.106144, 0.498978, 0.40777, 0.901612, 0.637559, 0.660733, 0.731791, 0.327041, 0.751501, 0.146364, 0.15279, 0.307243, 0.41031, 0.453184, 0.216278, 0.375578, 0.884648, 0.207614, 0.0909481, 0.226591, 0.317338, 0.295112, 0.230028, 0.134574, 0.265717, 0.243601, 0.896267, 0.175883, 0.268176, 0.244684, 0.769866, 0.781365, 0.236218, 0.507401, 0.240376, 0.266988, 0.956633, 0.927863, 0.178631, 0.427091, 0.494763, 0.549207, 0.125796, 0.0506452, 0.854739, 0.279612, 0.12533, 0.243367, 0.155581, 0.21172, 0.344566, 0.172379, 0.282733, 0.0435423, 0.258906, 0.275339, 0.235222, 0.640492, 0.888505, 0.29586, 0.245117, 0.436668, 0.0803419, 0.80695, 0.166516, 0.182379, 0.183155, 0.157415, 0.408656, 0.279126, 0.226465, 0.834403, 0.104747, 0.138184, 0.23323, 0.774669, 0.297047, 0.420447, 0.124811, 0.432431, 0.47232, 0.812304, 0.438513, 0.300592, 0.281045, 0.00806366, 0.262569, 0.578868, 0.273623, 0.212331, 0.801234, 0.210576, 0.16212, 0.4712, 0.266542, 0.855877, 0.695331, 0.0870817, 0.710925, 0.187721, 0.0432085, 0.327164, 0.112584, 0.882079, 0.0789101, 0.0710852, 0.259491, 0.257945, 0.284565, 0.206736, 0.460356, 0.0452308, 0.263335, 0.579979, 0.326161, 0.656132, 0.105317, 0.652236, 0.0412876, 0.536347, 0.395543, 0.360056, 0.377723, 0.162278, 0.274086, 0.831141, 0.0436649, 0.565252, 0.742834, 0.677156, 0.601014, 0.260837, 0.193957, 0.0318481, 0.235655, 0.216644, 0.23156, 0.366048, 0.0731353, 0.809416, 0.908648, 0.305449, 0.0508486, 0.30296, 0.213607, 0.832188, 0.852558, 0.816283, 0.694959, 0.70574, 0.226186, 0.761775, 0.218003, 0.0705201, 0.410991, 0.69658, 0.212833, 0.235748, 0.486365, 0.203784, 0.126161, 0.308837, 0.329958, 0.24057, 0.910229, 0.700599, 0.602173, 0.260747, 0.872036, 0.679148, 0.255266, 0.0951009, 0.404267, 0.850359, 0.284269, 0.248569, 0.265394, 0.571323, 0.0317531, 0.292991, 0.239303, 0.077031, 0.758269, 0.222124, 0.871115, 0.530688, 0.284005, 0.353782, 0.183133, 0.657733, 0.272387, 0.780605, 0.531119, 0.0962727, 0.269808, 0.199263, 0.620026, 0.710607, 0.901004, 0.0835081, 0.845734, 0.295447, 0.551333, 0.846329, 0.858006, 0.265846, 0.324766, 0.414346, 0.339984, 0.75061, 0.261581, 0.418343, 0.138939, 0.0779869, 0.183387, 0.111631, 0.230513, 0.254569, 0.282807, 0.231758, 0.265808, 0.795605, 0.216316, 0.0564165, 0.0605395, 0.206182, 0.126696, 0.246907, 0.195559, 0.222702, 0.36294, 0.74771, 0.404193]
	Time	[0]
	TimeBench	[0]
	TimeInit	[0]
	TimeMaps	[0]
StatsWithFlip:
	Average	[0.432678]
	Flipped	[true]
	Guessed	[0.333333]
	NumGen	[9, 9]
	ObjFn	[0]
	PerSampleErrors	[0.864485, 0.8408, 0.40477, 0.502139, 0.0595943, 0.913731, 0.11891, 0.878691, 0.322245, 0.881372, 0.230187, 0.0463717, 0.206287, 0.150149, 0.185379, 0.829688, 0.867844, 0.275477, 0.0819458, 0.244047, 0.182121]
